clouds (%),Date ,dewpt (°C),dhi (W/m²),dni (W/m²),ghi (W/m²),max_dhi (W/m²),max_dni (W/m²),max_ghi (W/m²),max_temp (°C),max_uv (Index),max_wind_dir (°),max_wind_spd (m/s),min_temp (°C),precip (mm),precip_gpm (mm/hr),pres (hPa),rh (%),slp (hPa),solar_rad (W/m²),temp (°C),wind_dir (°),wind_gust_spd (m/s),wind_spd (m/s),market_name (Text),query_lat (°),query_lon (°)
0.0,2024-01-01,12.3,41,336,213,115,909,752,28.1,6.1,200,2.8,15.2,0.0,0.0,997,0.6,1015,213,21.1,200,6.4,2.3,Bagasara,21.4969451177777,70.9593292150098
0.0,2024-01-02,13.4,41,336,213,115,909,753,27.4,6.2,188,3.2,14.4,0.0,0.0,996,0.67,1014,213,20.5,188,6.4,2.3,Bagasara,21.4969451177777,70.9593292150098
0.0,2024-01-03,10.9,41,336,214,115,909,754,26.7,6.2,30,3.2,13.3,0.0,0.0,996,0.6,1014,214,19.6,30,7.6,2.6,Bagasara,21.4969451177777,70.9593292150098
0.01,2024-01-04,10.3,41,337,214,115,910,755,26.7,6.2,16,4.0,13.0,0.0,0.0,996,0.58,1014,214,19.4,16,8.4,2.8,Bagasara,21.4969451177777,70.9593292150098
0.0,2024-01-05,9.6,41,337,215,115,910,757,27.0,6.2,23,4.0,11.9,0.0,0.0,997,0.56,1015,215,19.2,23,8.0,2.8,Bagasara,21.4969451177777,70.9593292150098
0.06,2024-01-06,9.2,41,337,216,115,911,758,26.3,6.2,36,4.8,13.7,0.0,0.0,997,0.53,1015,216,19.5,36,10.0,3.0,Bagasara,21.4969451177777,70.9593292150098
0.05,2024-01-07,12.9,41,337,216,115,911,760,27.4,6.3,36,3.6,14.8,0.0,0.0,997,0.63,1015,216,20.5,36,8.0,3.0,Bagasara,21.4969451177777,70.9593292150098
0.16,2024-01-08,15.5,41,338,217,115,912,762,27.4,4.5,21,4.0,16.3,0.0,0.0,997,0.7,1015,211,21.5,21,8.0,3.1,Bagasara,21.4969451177777,70.9593292150098
0.25,2024-01-09,11.8,41,338,218,116,912,763,26.7,5.3,16,5.2,18.1,0.0,0.0,998,0.53,1015,216,22.0,16,10.4,4.0,Bagasara,21.4969451177777,70.9593292150098
0.23,2024-01-10,13.3,41,339,218,116,913,765,27.0,5.8,18,3.6,17.4,0.0,0.0,998,0.59,1015,217,21.8,18,8.0,3.1,Bagasara,21.4969451177777,70.9593292150098
0.0,2024-01-11,15.0,41,339,219,116,913,767,28.9,6.4,23,3.2,16.7,0.0,0.0,998,0.64,1016,219,22.4,23,7.2,2.5,Bagasara,21.4969451177777,70.9593292150098
0.01,2024-01-12,14.8,41,339,220,116,914,769,30.4,6.4,141,3.2,16.3,0.0,0.0,997,0.62,1015,220,23.0,141,6.8,2.3,Bagasara,21.4969451177777,70.9593292150098
0.0,2024-01-13,12.5,41,340,221,116,914,772,29.6,6.4,289,3.2,18.5,0.0,0.0,998,0.53,1015,221,23.1,289,7.2,2.3,Bagasara,21.4969451177777,70.9593292150098
