clouds,datetime,dewpt,dhi,dni,ghi,max_dhi,max_dni,max_ghi,max_temp,max_temp_ts,max_uv,max_wind_dir,max_wind_spd,max_wind_spd_ts,min_temp,min_temp_ts,precip,precip_gpm,pres,revision_status,rh,slp,snow,snow_depth,solar_rad,t_dhi,t_dni,t_ghi,t_solar_rad,temp,ts,wind_dir,wind_gust_spd,wind_spd,market_name,query_lat,query_lon
0,2024-01-01,12.3,41,336,213,115,909,752,28.1,1704063600,6.1,200,2.8,1704063600,15.2,1704074400,0.0,0.0,997,final,60,1015,0,0,213,939,7728,4897,4897,21.1,1704047400,200,6.4,2.3,Bagasara,21.4969451177777,70.9593292150098
0,2024-01-02,13.4,41,336,213,115,909,753,27.4,1704186000,6.2,188,3.2,1704186000,14.4,1704160800,0.0,0.0,996,final,67,1014,0,0,213,940,7732,4908,4908,20.5,1704133800,188,6.4,2.3,Bagasara,21.4969451177777,70.9593292150098
0,2024-01-03,10.9,41,336,214,115,909,754,26.7,1704272400,6.2,30,3.2,1704272400,13.3,1704240000,0.0,0.0,996,final,60,1014,0,0,214,940,7736,4919,4919,19.6,1704220200,30,7.6,2.6,Bagasara,21.4969451177777,70.9593292150098
1,2024-01-04,10.3,41,337,214,115,910,755,26.7,1704358800,6.2,16,4.0,1704358800,13.0,1704333600,0.0,0.0,996,final,58,1014,0,0,214,941,7742,4932,4929,19.4,1704306600,16,8.4,2.8,Bagasara,21.4969451177777,70.9593292150098
0,2024-01-05,9.6,41,337,215,115,910,757,27.0,1704445200,6.2,23,4.0,1704445200,11.9,1704420000,0.0,0.0,997,final,56,1015,0,0,215,942,7748,4945,4945,19.2,1704393000,23,8.0,2.8,Bagasara,21.4969451177777,70.9593292150098
6,2024-01-06,9.2,41,337,216,115,911,758,26.3,1704531600,6.2,36,4.8,1704531600,13.7,1704499200,0.0,0.0,997,final,53,1015,0,0,216,943,7755,4959,4959,19.5,1704479400,36,10.0,3.0,Bagasara,21.4969451177777,70.9593292150098
5,2024-01-07,12.9,41,337,216,115,911,760,27.4,1704618000,6.3,36,3.6,1704618000,14.8,1704574800,0.0,0.0,997,final,63,1015,0,0,216,944,7762,4974,4969,20.5,1704565800,36,8.0,3.0,Bagasara,21.4969451177777,70.9593292150098
16,2024-01-08,15.5,41,338,217,115,912,762,27.4,1704704400,4.5,21,4.0,1704722400,16.3,1704672000,0.0,0.0,997,final,70,1015,0,0,211,945,7770,4990,4855,21.5,1704652200,21,8.0,3.1,Bagasara,21.4969451177777,70.9593292150098
25,2024-01-09,11.8,41,338,218,116,912,763,26.7,1704790800,5.3,16,5.2,1704790800,18.1,1704765600,0.0,0.0,998,final,53,1015,0,0,216,946,7779,5006,4974,22.0,1704738600,16,10.4,4.0,Bagasara,21.4969451177777,70.9593292150098
23,2024-01-10,13.3,41,339,218,116,913,765,27.0,1704877200,5.8,18,3.6,1704877200,17.4,1704852000,0.0,0.0,998,final,59,1015,0,0,217,947,7788,5024,4996,21.8,1704825000,18,8.0,3.1,Bagasara,21.4969451177777,70.9593292150098
