clouds,datetime,dewpt,dhi,dni,ghi,max_dhi,max_dni,max_ghi,max_temp,max_uv,max_wind_dir,max_wind_spd,min_temp,precip,precip_gpm,pres,rh,slp,solar_rad,t_dhi,t_dni,t_ghi,t_solar_rad,temp,ts,wind_dir,wind_gust_spd,wind_spd,Market
0,01-01-2024,17.9,41,340,215,116,910,759,30.7,6.3,156,3.6,20,0,0,1008,68,1013,215,954,7816,4946,4946,24.5,1704047400,156,5.6,2.2,Bardoli
0,02-01-2024,18,41,340,216,116,910,760,28.9,6.3,173,3.2,18.5,0,0,1008,74,1013,216,954,7820,4957,4957,23.1,1704133800,173,6.4,2.1,Bardoli
17,03-01-2024,17.9,42,340,216,116,911,762,28.1,6.3,188,3.6,17.4,0,0,1007,79,1013,210,955,7825,4968,4834,22.1,1704220200,188,6,2.4,Bardoli
3,04-01-2024,16.9,42,340,217,116,911,763,28.5,6.2,146,3.6,16.7,0,0,1007,74,1013,216,956,7831,4980,4978,22.3,1704306600,146,6.4,2.4,Bardoli
1,05-01-2024,16.4,42,341,217,116,911,764,28.1,6.1,89,4,17.4,0,0,1008,72,1013,217,957,7837,4993,4993,22.1,1704393000,89,6.4,3,Bardoli
22,06-01-2024,15.9,42,341,218,116,912,766,28.1,6.3,39,4.4,17.4,0,0,1009,69,1014,214,958,7844,5007,4933,22.2,1704479400,39,8.4,3.2,Bardoli
39,07-01-2024,17.8,42,341,218,116,912,768,28.9,5.9,62,5.2,19.6,0,0,1008,72,1014,218,960,7852,5022,5017,23.5,1704565800,62,10,3.6,Bardoli
15,08-01-2024,18.4,42,342,219,116,913,769,31.1,6.4,88,4.4,20.4,0,0,1008,69,1014,219,961,7860,5038,5038,24.8,1704652200,88,9.2,3.3,Bardoli
31,09-01-2024,18.2,42,342,220,116,913,771,29.6,5.3,37,3.6,20.4,0,0,1009,69,1014,186,962,7868,5055,4285,24.5,1704738600,37,6.4,2.7,Bardoli
8,10-01-2024,19.4,42,342,221,117,914,773,29.6,6.2,36,2.8,20.7,0,0,1009,74,1014,221,964,7877,5072,5072,24.6,1704825000,36,6.4,2.4,Bardoli
6,11-01-2024,19.9,42,343,221,117,915,775,30.4,6.5,34,3.6,20.4,0,0,1009,75,1015,220,965,7887,5090,5055,24.9,1704911400,34,6.4,2.7,Bardoli
2,12-01-2024,19.5,42,343,222,117,915,777,33,6.5,117,4,21.1,0,0,1009,69,1014,222,967,7897,5109,5109,26.2,1704997800,117,8,2.7,Bardoli
0,13-01-2024,18.7,42,344,223,117,916,780,33,6.5,187,3.2,20.4,0,0,1009,67,1014,223,968,7908,5129,5129,25.9,1705084200,187,7.2,2.1,Bardoli
0,14-01-2024,13.6,42,344,224,117,916,782,30,6.6,157,3.2,18.5,0,0,1010,57,1015,224,970,7920,5150,5150,23.7,1705170600,157,7.2,2.2,Bardoli
0,15-01-2024,11.3,42,345,225,117,917,784,28.9,6.6,168,2.4,15.6,0,0,1009,56,1015,225,972,7931,5171,5171,21.8,1705257000,168,4.8,1.6,Bardoli
23,16-01-2024,13,42,345,226,117,918,787,29.3,6.4,206,2.4,15.2,0,0,1007,62,1012,219,974,7944,5193,5030,21.5,1705343400,206,4.8,1.5,Bardoli
50,17-01-2024,12.8,42,346,227,117,918,789,28.5,3.5,166,2.4,15.2,0,0,1006,62,1012,160,976,7957,5216,3680,21.5,1705429800,166,6.4,1.6,Bardoli
3,18-01-2024,13.4,43,347,228,118,919,792,28.1,6.4,107,2.8,15.9,0,0,1008,61,1013,228,978,7970,5239,5239,22,1705516200,107,5.2,1.9,Bardoli
2,19-01-2024,14,43,347,229,118,920,795,29.6,6.7,111,4,16.7,0,0,1008,60,1013,229,980,7984,5263,5261,22.6,1705602600,111,8.4,2.9,Bardoli
33,20-01-2024,12.6,43,348,230,118,920,797,29.3,6.8,142,4,16.7,0,0,1009,55,1014,219,982,7998,5288,5040,22.4,1705689000,142,7.2,3,Bardoli
62,21-01-2024,10.5,43,348,231,118,921,800,28.5,2.2,41,4.4,16.7,0,0,1010,49,1015,70,984,8013,5314,1611,22.3,1705775400,41,9.2,3.3,Bardoli
49,22-01-2024,10.3,43,349,232,118,922,803,29.3,5.4,151,4,15.9,0,0,1010,50,1015,219,986,8029,5340,5040,22,1705861800,151,8.4,3.1,Bardoli
0,23-01-2024,7.5,43,350,233,118,922,806,28.5,6.9,99,4.4,15.6,0,0,1010,42,1016,233,989,8044,5367,5367,21.6,1705948200,99,8.8,3,Bardoli
3,24-01-2024,9,43,350,235,118,923,809,28.5,7,44,4,15.9,0,0,1010,47,1016,235,991,8061,5394,5394,21.7,1706034600,44,8.4,2.8,Bardoli
4,25-01-2024,10,43,351,236,119,924,813,29.3,7,61,4.4,14.4,0,0,1011,51,1016,235,994,8077,5422,5413,21.8,1706121000,61,9.6,3.2,Bardoli
27,26-01-2024,11.1,43,352,237,119,925,816,31.1,6.7,59,4,16.7,0,0,1012,49,1017,233,996,8094,5450,5351,23.1,1706207400,59,7.6,2.8,Bardoli
76,27-01-2024,13.3,43,353,238,119,925,819,32.6,4.7,128,4.4,16.7,0,0,1011,56,1017,140,999,8112,5479,3210,23.7,1706293800,128,8.4,2.5,Bardoli
69,28-01-2024,14.2,44,353,240,119,926,822,32.6,3.7,162,3.2,16.3,0,0,1011,61,1016,205,1001,8129,5509,4716,23.6,1706380200,162,6.4,1.9,Bardoli
48,29-01-2024,13.3,44,354,241,119,927,826,30.4,6.5,153,2.8,16.3,0,0,1011,58,1016,238,1004,8148,5539,5473,23,1706466600,153,6.4,1.8,Bardoli
