clouds,datetime,dewpt,dhi,dni,ghi,max_dhi,max_dni,max_ghi,max_temp,max_temp_ts,max_uv,max_wind_dir,max_wind_spd,max_wind_spd_ts,min_temp,min_temp_ts,precip,precip_gpm,pres,revision_status,rh,slp,snow,snow_depth,solar_rad,t_dhi,t_dni,t_ghi,t_solar_rad,temp,ts,wind_dir,wind_gust_spd,wind_spd
0,2024-01-01,17.9,41,340,215,116,910,759,30.4,1704063600,6.3,154,4.0,1704063600,20.0,1704067200,0.0,0.0,1010,final,68,1013,0,0,215,954,7816,4946,4946,24.4,1704047400,154,7.2,2.7
0,2024-01-02,17.7,41,340,216,116,910,760,28.5,1704186000,6.3,163,4.0,1704189600,18.5,1704160800,0.0,0.0,1010,final,73,1013,0,0,216,954,7820,4957,4957,23.0,1704133800,163,7.2,2.6
8,2024-01-03,17.7,42,340,216,116,911,762,27.8,1704272400,6.3,142,4.0,1704272400,17.4,1704247200,0.0,0.0,1009,final,77,1013,0,0,216,955,7825,4968,4959,22.2,1704220200,142,6.8,3.0
2,2024-01-04,17.1,42,340,217,116,911,763,28.1,1704358800,6.3,139,4.4,1704358800,17.0,1704326400,0.0,0.0,1009,final,75,1013,0,0,216,956,7831,4980,4978,22.2,1704306600,139,6.8,2.9
0,2024-01-05,16.4,42,341,217,116,911,764,28.1,1704445200,6.3,102,4.8,1704423600,17.4,1704420000,0.0,0.0,1010,final,71,1013,0,0,217,957,7837,4993,4993,22.3,1704393000,102,7.2,3.6
24,2024-01-06,16.0,42,341,218,116,912,766,28.9,1704531600,6.2,27,4.4,1704524400,17.4,1704499200,0.0,0.0,1010,final,67,1014,0,0,216,958,7844,5007,4977,22.6,1704479400,27,8.4,3.7
41,2024-01-07,17.7,42,341,218,116,912,768,29.6,1704618000,5.7,54,4.8,1704639600,19.6,1704582000,0.0,0.0,1010,final,70,1013,0,0,216,960,7852,5022,4977,23.9,1704565800,54,7.6,3.5
17,2024-01-08,18.4,42,342,219,116,913,769,31.1,1704704400,6.4,141,4.4,1704715200,20.7,1704672000,0.0,0.0,1010,final,68,1013,0,0,219,961,7860,5038,5038,25.0,1704652200,141,6.4,3.1
30,2024-01-09,18.6,42,342,220,116,913,771,29.3,1704790800,4.8,77,4.4,1704747600,20.7,1704765600,0.0,0.0,1010,final,70,1013,0,0,195,962,7868,5055,4480,24.7,1704738600,77,7.2,3.2
7,2024-01-10,19.7,42,342,221,117,914,773,29.6,1704877200,6.2,141,3.6,1704888000,20.7,1704852000,0.0,0.0,1011,final,75,1014,0,0,221,964,7877,5072,5072,24.7,1704825000,141,6.8,2.7
2,2024-01-11,20.0,42,343,221,117,915,775,30.7,1704963600,6.5,33,4.0,1704974400,20.7,1704938400,0.0,0.0,1011,final,75,1014,0,0,221,965,7887,5090,5090,25.2,1704911400,33,6.4,3.0
3,2024-01-12,19.8,42,343,222,117,915,777,33.0,1705050000,6.5,129,4.0,1705060800,21.5,1705024800,0.0,0.0,1010,final,69,1014,0,0,222,967,7897,5109,5109,26.4,1704997800,129,6.8,3.1
0,2024-01-13,18.8,42,344,223,117,916,780,32.2,1705136400,6.5,215,3.6,1705136400,20.7,1705111200,0.0,0.0,1011,final,67,1014,0,0,223,968,7908,5129,5129,25.8,1705084200,215,7.6,2.6
0,2024-01-14,13.9,42,344,224,117,916,782,30.0,1705222800,6.6,134,3.6,1705222800,19.3,1705197600,0.0,0.0,1012,final,57,1015,0,0,224,970,7920,5150,5150,24.1,1705170600,134,7.2,2.6
0,2024-01-15,12.1,42,345,225,117,917,784,28.9,1705309200,6.6,170,2.4,1705320000,16.3,1705284000,0.0,0.0,1011,final,57,1015,0,0,225,972,7931,5171,5171,22.0,1705257000,170,5.6,2.0
27,2024-01-16,13.1,42,345,226,117,918,787,28.9,1705395600,6.4,180,2.8,1705388400,14.8,1705363200,0.0,0.0,1009,final,63,1012,0,0,212,974,7944,5193,4887,21.5,1705343400,180,5.6,1.8
43,2024-01-17,13.5,42,346,227,117,918,789,28.5,1705482000,3.3,182,2.8,1705489200,15.2,1705456800,0.0,0.0,1008,final,64,1012,0,0,159,976,7957,5216,3665,21.7,1705429800,182,6.4,1.9
1,2024-01-18,14.0,43,347,228,118,919,792,28.1,1705568400,6.6,180,3.2,1705568400,16.3,1705536000,0.0,0.0,1010,final,63,1013,0,0,228,978,7970,5239,5239,22.0,1705516200,180,5.6,2.1
1,2024-01-19,14.1,43,347,229,118,920,795,30.0,1705654800,6.7,132,4.0,1705665600,16.7,1705622400,0.0,0.0,1010,final,60,1013,0,0,229,980,7984,5263,5263,22.9,1705602600,132,7.2,3.0
30,2024-01-20,12.3,43,348,230,118,920,797,29.3,1705741200,6.8,140,4.4,1705752000,17.4,1705716000,0.0,0.0,1011,final,53,1014,0,0,223,982,7998,5288,5130,22.7,1705689000,140,7.6,3.5
62,2024-01-21,10.6,43,348,231,118,921,800,29.3,1705827600,2.4,33,4.4,1705845600,17.0,1705795200,0.0,0.0,1012,final,48,1015,0,0,68,984,8013,5314,1555,22.8,1705775400,33,9.2,3.8
51,2024-01-22,10.2,43,349,232,118,922,803,29.6,1705914000,5.5,157,4.4,1705914000,16.3,1705881600,0.0,0.0,1012,final,48,1015,0,0,219,986,8029,5340,5026,22.5,1705861800,157,8.0,3.4
0,2024-01-23,7.5,43,350,233,118,922,806,28.9,1706000400,6.9,100,4.8,1706000400,15.9,1705978800,0.0,0.0,1012,final,42,1016,0,0,233,989,8044,5367,5367,22.0,1705948200,100,9.2,3.4
3,2024-01-24,8.6,43,350,235,118,923,809,29.3,1706086800,7.0,37,4.0,1706086800,16.3,1706036400,0.0,0.0,1012,final,44,1015,0,0,235,991,8061,5394,5394,22.2,1706034600,37,8.8,3.2
1,2024-01-25,9.6,43,351,236,119,924,813,30.0,1706173200,7.0,46,4.0,1706173200,14.8,1706148000,0.0,0.0,1013,final,49,1016,0,0,236,994,8077,5422,5422,22.3,1706121000,46,8.0,3.0
31,2024-01-26,10.8,43,352,237,119,925,816,31.5,1706259600,6.8,116,3.2,1706259600,15.6,1706209200,0.0,0.0,1014,final,49,1017,0,0,237,996,8094,5450,5448,23.1,1706207400,116,6.0,2.5
79,2024-01-27,13.4,43,353,238,119,925,819,32.2,1706346000,4.8,141,4.0,1706342400,16.3,1706313600,0.0,0.0,1013,final,57,1017,0,0,123,999,8112,5479,2820,23.3,1706293800,141,6.8,2.5
