clouds (%),Date ,dewpt (°C),dhi (W/m²),dni (W/m²),ghi (W/m²),max_dhi (W/m²),max_dni (W/m²),max_ghi (W/m²),max_temp (°C),max_uv (Index),max_wind_dir (°),max_wind_spd (m/s),min_temp (°C),precip (mm),precip_gpm (mm/hr),pres (hPa),rh (%),slp (hPa),solar_rad (W/m²),temp (°C),wind_dir (°),wind_gust_spd (m/s),wind_spd (m/s),market_name (Text),query_lat (°),query_lon (°)
0.0,2024-01-01,15.5,40,331,204,114,901,730,27.8,5.8,276,2.8,15.6,0.0,0.0,1011,0.74,1014,204,20.9,276,5.6,1.9,Bavla,22.8309655214228,72.3579378735662
0.0,2024-01-02,15.5,40,331,205,114,902,731,26.7,5.9,192,3.2,15.6,0.0,0.0,1011,0.75,1014,205,20.5,192,6.4,2.3,Bavla,22.8309655214228,72.3579378735662
0.01,2024-01-03,13.6,40,331,205,114,902,733,26.3,5.7,91,4.0,14.1,0.0,0.0,1011,0.7,1014,205,19.6,91,7.6,2.4,Bavla,22.8309655214228,72.3579378735662
0.0,2024-01-04,12.8,40,332,206,114,903,734,25.9,5.9,54,4.0,14.4,0.0,0.0,1011,0.68,1014,206,19.4,54,8.4,3.0,Bavla,22.8309655214228,72.3579378735662
0.16,2024-01-05,12.2,40,332,207,114,903,736,26.3,5.9,41,4.4,13.7,0.0,0.0,1012,0.66,1015,202,19.1,41,7.2,2.7,Bavla,22.8309655214228,72.3579378735662
0.01,2024-01-06,12.2,40,332,207,114,903,737,25.6,6.0,40,4.0,14.4,0.0,0.0,1013,0.66,1016,207,19.1,40,8.4,3.1,Bavla,22.8309655214228,72.3579378735662
0.06,2024-01-07,13.5,40,333,208,114,904,739,26.7,5.9,46,4.8,15.6,0.0,0.0,1013,0.66,1016,208,20.1,46,9.2,3.7,Bavla,22.8309655214228,72.3579378735662
0.34,2024-01-08,16.7,41,333,209,114,905,741,26.7,4.5,59,4.0,17.4,0.0,0.0,1012,0.74,1015,200,21.7,59,7.2,3.2,Bavla,22.8309655214228,72.3579378735662
0.24,2024-01-09,14.1,41,334,209,115,905,743,26.7,4.7,188,4.8,18.1,0.0,0.0,1013,0.61,1015,208,22.0,188,10.0,4.0,Bavla,22.8309655214228,72.3579378735662
0.04,2024-01-10,15.5,41,334,210,115,906,745,27.0,5.8,121,4.0,17.8,0.0,0.0,1013,0.68,1016,210,21.9,121,7.6,3.2,Bavla,22.8309655214228,72.3579378735662
0.0,2024-01-11,15.4,41,335,211,115,906,747,28.5,6.1,80,3.2,15.9,0.0,0.0,1013,0.69,1016,211,21.6,80,6.4,2.5,Bavla,22.8309655214228,72.3579378735662
0.0,2024-01-12,15.3,41,335,212,115,907,749,30.0,6.1,100,2.8,15.2,0.0,0.0,1012,0.7,1015,212,21.9,100,6.0,2.1,Bavla,22.8309655214228,72.3579378735662
0.0,2024-01-13,12.6,41,336,213,115,908,751,29.3,6.1,276,3.2,15.9,0.0,0.0,1012,0.59,1015,213,21.6,276,6.8,2.4,Bavla,22.8309655214228,72.3579378735662
0.0,2024-01-14,8.6,41,336,214,115,908,754,28.5,6.2,335,3.6,13.7,0.0,0.0,1013,0.49,1016,214,20.3,335,7.6,2.5,Bavla,22.8309655214228,72.3579378735662
0.0,2024-01-15,10.0,41,337,215,115,909,756,27.8,6.2,247,2.8,12.6,0.0,0.0,1012,0.57,1015,215,19.4,247,4.8,1.8,Bavla,22.8309655214228,72.3579378735662
0.16,2024-01-16,9.5,41,337,216,115,910,759,27.8,5.9,318,2.4,12.6,0.0,0.0,1010,0.54,1013,212,20.0,318,5.2,1.8,Bavla,22.8309655214228,72.3579378735662
0.77,2024-01-17,13.5,41,338,217,116,910,761,27.4,4.0,284,2.4,13.0,0.0,0.0,1009,0.69,1012,147,19.9,284,5.6,2.0,Bavla,22.8309655214228,72.3579378735662
0.01,2024-01-18,13.6,41,339,218,116,911,764,27.4,6.3,106,2.8,14.8,0.0,0.0,1011,0.68,1014,218,20.4,106,6.0,2.3,Bavla,22.8309655214228,72.3579378735662
0.01,2024-01-19,11.5,41,339,219,116,912,767,28.1,6.4,84,3.6,15.2,0.0,0.0,1012,0.58,1014,219,20.5,84,8.0,2.8,Bavla,22.8309655214228,72.3579378735662
0.2,2024-01-20,10.0,42,340,220,116,913,770,27.8,6.4,159,4.0,14.4,0.0,0.0,1013,0.55,1016,218,19.9,159,7.6,2.6,Bavla,22.8309655214228,72.3579378735662
0.52,2024-01-21,9.3,42,341,221,116,913,773,27.4,2.2,51,3.6,14.8,0.0,0.0,1014,0.52,1017,98,19.9,51,7.6,3.0,Bavla,22.8309655214228,72.3579378735662
0.39,2024-01-22,9.1,42,342,222,116,914,776,27.4,5.9,45,3.2,12.6,0.0,0.0,1014,0.55,1017,215,19.2,45,6.4,2.4,Bavla,22.8309655214228,72.3579378735662
0.0,2024-01-23,10.1,42,342,223,117,915,779,27.8,6.5,31,2.8,12.6,0.0,0.0,1014,0.58,1017,223,19.5,31,6.4,2.1,Bavla,22.8309655214228,72.3579378735662
0.0,2024-01-24,11.1,42,343,225,117,916,782,28.1,6.6,31,2.4,13.3,0.0,0.0,1013,0.61,1016,225,20.0,31,5.6,1.9,Bavla,22.8309655214228,72.3579378735662
0.19,2024-01-25,10.8,42,344,226,117,916,785,28.1,6.4,102,3.2,13.0,0.0,0.0,1014,0.59,1017,225,20.1,102,7.2,2.3,Bavla,22.8309655214228,72.3579378735662
0.38,2024-01-26,10.9,42,345,227,117,917,789,28.5,6.5,51,3.2,14.1,0.0,0.0,1015,0.58,1018,181,20.2,51,6.4,2.6,Bavla,22.8309655214228,72.3579378735662
0.53,2024-01-27,11.1,42,346,229,117,918,792,29.3,3.4,48,2.8,14.1,0.0,0.0,1015,0.56,1018,171,20.9,48,5.6,2.3,Bavla,22.8309655214228,72.3579378735662
0.66,2024-01-28,11.3,42,346,230,117,919,796,30.4,4.8,159,2.8,13.0,0.0,0.0,1013,0.58,1016,199,21.0,159,4.8,1.9,Bavla,22.8309655214228,72.3579378735662
