clouds,datetime,dewpt,dhi,dni,ghi,max_dhi,max_dni,max_ghi,max_temp,max_temp_ts,max_uv,max_wind_dir,max_wind_spd,max_wind_spd_ts,min_temp,min_temp_ts,precip,precip_gpm,pres,revision_status,rh,slp,snow,snow_depth,solar_rad,t_dhi,t_dni,t_ghi,t_solar_rad,temp,ts,wind_dir,wind_gust_spd,wind_spd,market_name,query_lat,query_lon
0,2024-01-01,15.5,40,331,204,114,901,730,27.8,1704063600,5.8,276,2.8,1704063600,15.6,1704067200,0.0,0.0,1011,final,74,1014,0,0,204,925,7611,4703,4703,20.9,1704047400,276,5.6,1.9,Bavla,22.8309655214228,72.3579378735662
0,2024-01-02,15.5,40,331,205,114,902,731,26.7,1704186000,5.9,192,3.2,1704171600,15.6,1704157200,0.0,0.0,1011,final,75,1014,0,0,205,926,7616,4714,4714,20.5,1704133800,192,6.4,2.3,Bavla,22.8309655214228,72.3579378735662
1,2024-01-03,13.6,40,331,205,114,902,733,26.3,1704272400,5.7,91,4.0,1704254400,14.1,1704243600,0.0,0.0,1011,final,70,1014,0,0,205,927,7623,4726,4725,19.6,1704220200,91,7.6,2.4,Bavla,22.8309655214228,72.3579378735662
0,2024-01-04,12.8,40,332,206,114,903,734,25.9,1704358800,5.9,54,4.0,1704340800,14.4,1704330000,0.0,0.0,1011,final,68,1014,0,0,206,928,7629,4738,4738,19.4,1704306600,54,8.4,3.0,Bavla,22.8309655214228,72.3579378735662
16,2024-01-05,12.2,40,332,207,114,903,736,26.3,1704441600,5.9,41,4.4,1704409200,13.7,1704420000,0.0,0.0,1012,final,66,1015,0,0,202,929,7637,4752,4651,19.1,1704393000,41,7.2,2.7,Bavla,22.8309655214228,72.3579378735662
1,2024-01-06,12.2,40,332,207,114,903,737,25.6,1704538800,6.0,40,4.0,1704524400,14.4,1704502800,0.0,0.0,1013,final,66,1016,0,0,207,930,7645,4767,4767,19.1,1704479400,40,8.4,3.1,Bavla,22.8309655214228,72.3579378735662
6,2024-01-07,13.5,40,333,208,114,904,739,26.7,1704618000,5.9,46,4.8,1704600000,15.6,1704582000,0.0,0.0,1013,final,66,1016,0,0,208,931,7654,4782,4781,20.1,1704565800,46,9.2,3.7,Bavla,22.8309655214228,72.3579378735662
34,2024-01-08,16.7,41,333,209,114,905,741,26.7,1704704400,4.5,59,4.0,1704654000,17.4,1704675600,0.0,0.0,1012,final,74,1015,0,0,200,932,7663,4798,4594,21.7,1704652200,59,7.2,3.2,Bavla,22.8309655214228,72.3579378735662
24,2024-01-09,14.1,41,334,209,115,905,743,26.7,1704798000,4.7,188,4.8,1704776400,18.1,1704762000,0.0,0.0,1013,final,61,1015,0,0,208,934,7674,4816,4781,22.0,1704738600,188,10.0,4.0,Bavla,22.8309655214228,72.3579378735662
4,2024-01-10,15.5,41,334,210,115,906,745,27.0,1704877200,5.8,121,4.0,1704841200,17.8,1704852000,0.0,0.0,1013,final,68,1016,0,0,210,935,7684,4834,4833,21.9,1704825000,121,7.6,3.2,Bavla,22.8309655214228,72.3579378735662
