clouds,datetime,dewpt,dhi,dni,ghi,max_dhi,max_dni,max_ghi,max_temp,max_temp_ts,max_uv,max_wind_dir,max_wind_spd,max_wind_spd_ts,min_temp,min_temp_ts,precip,precip_gpm,pres,revision_status,rh,slp,snow,snow_depth,solar_rad,t_dhi,t_dni,t_ghi,t_solar_rad,temp,ts,wind_dir,wind_gust_spd,wind_spd,market_name,query_lat,query_lon
0,2024-01-01,11.7,41,336,213,115,909,752,28.9,1704063600,6.1,157,2.8,1704063600,16.3,1704074400,0.0,0.0,991,final,54,1015,0,0,213,939,7728,4897,4897,21.9,1704047400,157,6.8,2.4,Dhari,21.3313652169747,71.0238281988568
0,2024-01-02,12.7,41,336,213,115,909,753,27.8,1704186000,6.2,144,3.6,1704186000,15.9,1704160800,0.0,0.0,990,final,61,1014,0,0,213,940,7732,4908,4908,21.3,1704133800,144,7.2,2.7,Dhari,21.3313652169747,71.0238281988568
0,2024-01-03,10.4,41,336,214,115,909,754,27.0,1704272400,6.2,15,3.6,1704272400,14.4,1704240000,0.0,0.0,990,final,55,1014,0,0,214,940,7736,4919,4919,20.6,1704220200,15,8.4,2.8,Dhari,21.3313652169747,71.0238281988568
1,2024-01-04,9.9,41,337,214,115,910,755,27.0,1704358800,6.2,16,4.8,1704358800,14.8,1704333600,0.0,0.0,990,final,53,1014,0,0,214,941,7742,4932,4931,20.4,1704306600,16,9.6,3.3,Dhari,21.3313652169747,71.0238281988568
0,2024-01-05,8.8,41,337,215,115,910,757,27.8,1704445200,6.2,22,4.8,1704445200,13.7,1704420000,0.0,0.0,991,final,49,1014,0,0,215,942,7748,4945,4945,20.3,1704393000,22,9.2,3.4,Dhari,21.3313652169747,71.0238281988568
12,2024-01-06,9.1,41,337,216,115,911,758,26.7,1704531600,6.2,32,5.2,1704531600,15.2,1704499200,0.0,0.0,991,final,50,1015,0,0,216,943,7755,4959,4959,20.2,1704479400,32,10.8,3.9,Dhari,21.3313652169747,71.0238281988568
9,2024-01-07,12.7,41,337,216,115,911,760,27.8,1704618000,6.3,32,4.8,1704618000,15.9,1704574800,0.0,0.0,991,final,59,1015,0,0,215,944,7762,4974,4944,21.1,1704565800,32,9.2,3.6,Dhari,21.3313652169747,71.0238281988568
18,2024-01-08,15.8,41,338,217,115,912,762,28.1,1704704400,4.7,21,4.8,1704722400,17.0,1704672000,0.0,0.0,991,final,69,1015,0,0,209,945,7770,4990,4802,21.9,1704652200,21,8.8,4.0,Dhari,21.3313652169747,71.0238281988568
27,2024-01-09,12.7,41,338,218,116,912,763,27.0,1704790800,5.6,18,5.6,1704790800,18.1,1704765600,0.0,0.0,992,final,56,1015,0,0,216,946,7779,5006,4971,22.2,1704738600,18,11.6,4.9,Dhari,21.3313652169747,71.0238281988568
29,2024-01-10,13.6,41,339,218,116,913,765,27.8,1704877200,5.8,22,4.8,1704877200,17.8,1704852000,0.0,0.0,992,final,58,1015,0,0,217,947,7788,5024,4986,22.2,1704825000,22,8.8,3.9,Dhari,21.3313652169747,71.0238281988568
1,2024-01-11,15.4,41,339,219,116,913,767,29.3,1704963600,6.4,24,4.0,1704963600,17.8,1704931200,0.0,0.0,992,final,63,1016,0,0,219,949,7798,5042,5042,23.1,1704911400,24,8.8,3.3,Dhari,21.3313652169747,71.0238281988568
3,2024-01-12,15.0,41,339,220,116,914,769,30.7,1705057200,6.4,119,3.6,1705057200,18.5,1705024800,0.0,0.0,991,final,59,1015,0,0,220,950,7808,5061,5061,23.9,1704997800,119,8.0,2.7,Dhari,21.3313652169747,71.0238281988568
0,2024-01-13,12.1,41,340,221,116,914,772,30.4,1705136400,6.4,283,3.6,1705132800,18.1,1705111200,0.0,0.0,992,final,51,1015,0,0,221,952,7818,5081,5081,23.5,1705084200,283,8.0,2.4,Dhari,21.3313652169747,71.0238281988568
