clouds,datetime,dewpt,dhi,dni,ghi,max_dhi,max_dni,max_ghi,max_temp,max_temp_ts,max_uv,max_wind_dir,max_wind_spd,max_wind_spd_ts,min_temp,min_temp_ts,precip,precip_gpm,pres,revision_status,rh,slp,snow,snow_depth,solar_rad,t_dhi,t_dni,t_ghi,t_solar_rad,temp,ts,wind_dir,wind_gust_spd,wind_spd,market_name,query_lat,query_lon
0,2024-01-01,15.9,40,331,204,114,901,730,27.0,1704063600,5.8,219,2.4,1704063600,15.2,1704067200,0.0,0.0,1011,final,77,1014,0,0,204,925,7611,4703,4703,20.4,1704047400,219,4.8,1.8,Dholka,22.7212505077608,72.448905310359
1,2024-01-02,16.0,40,331,205,114,902,731,25.9,1704186000,5.9,182,2.8,1704171600,15.6,1704157200,0.0,0.0,1011,final,79,1014,0,0,205,926,7616,4714,4714,20.0,1704133800,182,5.6,2.2,Dholka,22.7212505077608,72.448905310359
1,2024-01-03,14.3,40,331,205,114,902,733,25.6,1704272400,5.5,66,3.6,1704254400,14.1,1704243600,0.0,0.0,1011,final,75,1014,0,0,205,927,7623,4726,4725,19.1,1704220200,66,6.8,2.3,Dholka,22.7212505077608,72.448905310359
0,2024-01-04,13.8,40,332,206,114,903,734,25.6,1704358800,5.9,42,4.0,1704340800,15.2,1704330000,0.0,0.0,1011,final,73,1014,0,0,206,928,7629,4738,4738,19.2,1704306600,42,7.6,3.0,Dholka,22.7212505077608,72.448905310359
15,2024-01-05,13.3,40,332,207,114,903,736,25.6,1704441600,5.9,31,4.0,1704409200,14.1,1704420000,0.0,0.0,1012,final,71,1015,0,0,202,929,7637,4752,4649,18.9,1704393000,31,6.8,2.6,Dholka,22.7212505077608,72.448905310359
1,2024-01-06,13.1,40,332,207,114,903,737,24.8,1704538800,6.0,42,4.0,1704524400,14.8,1704502800,0.0,0.0,1013,final,71,1016,0,0,207,930,7645,4767,4767,18.8,1704479400,42,8.0,3.2,Dholka,22.7212505077608,72.448905310359
11,2024-01-07,13.7,40,333,208,114,904,739,25.9,1704618000,5.6,47,4.8,1704600000,15.6,1704582000,0.0,0.0,1013,final,68,1016,0,0,208,931,7654,4782,4774,19.9,1704565800,47,9.2,3.7,Dholka,22.7212505077608,72.448905310359
37,2024-01-08,17.0,41,333,209,114,905,741,26.3,1704704400,4.7,64,3.6,1704654000,17.8,1704675600,0.0,0.0,1012,final,77,1015,0,0,199,932,7663,4798,4583,21.4,1704652200,64,6.8,3.1,Dholka,22.7212505077608,72.448905310359
24,2024-01-09,16.1,41,334,209,115,905,743,26.7,1704798000,4.7,131,4.4,1704776400,18.5,1704762000,0.0,0.0,1012,final,69,1015,0,0,208,934,7674,4816,4777,22.1,1704738600,131,8.8,3.4,Dholka,22.7212505077608,72.448905310359
5,2024-01-10,16.6,41,334,210,115,906,745,26.7,1704877200,5.7,38,4.0,1704841200,18.5,1704852000,0.0,0.0,1012,final,72,1015,0,0,210,935,7684,4834,4833,22.0,1704825000,38,7.6,2.9,Dholka,22.7212505077608,72.448905310359
