clouds (%),Date ,dewpt (°C),dhi (W/m²),dni (W/m²),ghi (W/m²),max_dhi (W/m²),max_dni (W/m²),max_ghi (W/m²),max_temp (°C),max_uv (Index),max_wind_dir (°),max_wind_spd (m/s),min_temp (°C),precip (mm),precip_gpm (mm/hr),pres (hPa),rh (%),slp (hPa),solar_rad (W/m²),temp (°C),wind_dir (°),wind_gust_spd (m/s),wind_spd (m/s),market_name (Text),query_lat (°),query_lon (°)
0.58,2024-09-13,24.5,51,400,322,126,941,1014,31.1,7.0,225,4.8,25.9,0.0,0.0,998,0.82,1007,274,27.9,225,12.4,3.7,Kosamba_Vankal,21.43,73.23
0.48,2024-09-14,23.8,51,399,321,126,941,1012,30.4,7.2,213,4.4,24.4,3.0,3.0,997,0.82,1006,280,27.2,213,10.4,3.5,Kosamba_Vankal,21.43,73.23
0.5,2024-09-15,23.6,51,398,320,126,941,1010,30.4,7.6,235,4.0,23.7,0.0,0.0,998,0.82,1007,300,27.2,235,8.4,2.9,Kosamba_Vankal,21.43,73.23
0.38,2024-09-16,23.3,50,397,319,126,941,1008,32.2,9.1,258,3.6,25.2,0.0,0.0,999,0.77,1008,305,28.2,258,7.6,2.5,Kosamba_Vankal,21.43,73.23
0.26,2024-09-17,23.4,50,396,318,126,941,1006,32.2,8.5,263,3.2,25.2,0.0,0.0,999,0.76,1008,313,28.3,263,6.8,2.2,Kosamba_Vankal,21.43,73.23
0.74,2024-09-18,23.9,50,395,317,126,941,1004,31.9,3.9,244,3.6,25.2,0.0,0.0,997,0.8,1006,146,28.0,244,7.6,2.2,Kosamba_Vankal,21.43,73.23
0.3,2024-09-19,24.5,50,393,316,126,941,1002,33.0,7.0,229,3.2,25.9,0.0,0.0,998,0.78,1007,296,28.9,229,7.2,2.7,Kosamba_Vankal,21.43,73.23
0.25,2024-09-20,24.3,50,392,314,125,941,999,33.0,8.5,230,3.6,26.3,0.0,0.0,998,0.77,1007,300,29.1,230,7.6,2.7,Kosamba_Vankal,21.43,73.23
0.35,2024-09-21,24.9,50,391,313,125,941,997,32.6,6.7,241,3.2,26.3,3.8,3.8,999,0.79,1008,264,29.1,241,6.4,2.6,Kosamba_Vankal,21.43,73.23
0.55,2024-09-22,25.6,49,391,312,125,941,995,32.2,7.8,258,3.6,25.9,0.0,0.0,999,0.82,1007,266,29.2,258,6.8,2.0,Kosamba_Vankal,21.43,73.23
0.99,2024-09-23,26.0,49,390,311,125,941,992,33.0,3.2,267,3.6,27.0,3.3,3.3,998,0.81,1006,72,29.7,267,6.4,1.9,Kosamba_Vankal,21.43,73.23
0.93,2024-09-24,26.2,49,389,309,125,941,990,32.2,4.9,242,3.6,26.7,32.8,32.8,996,0.88,1005,169,28.6,242,6.8,1.7,Kosamba_Vankal,21.43,73.23
0.97,2024-09-25,26.0,49,389,308,125,941,987,31.1,3.3,243,2.8,24.4,105.8,105.8,995,0.92,1004,80,27.4,243,6.4,1.6,Kosamba_Vankal,21.43,73.23
1.0,2024-09-26,25.3,49,388,307,125,940,984,27.8,3.2,212,2.4,24.4,43.3,43.3,994,0.97,1003,31,25.8,212,6.4,1.4,Kosamba_Vankal,21.43,73.23
1.0,2024-09-27,24.9,49,388,306,125,940,982,28.1,3.2,151,2.0,24.4,58.0,58.0,994,0.95,1003,45,25.7,151,5.6,1.1,Kosamba_Vankal,21.43,73.23
1.0,2024-09-28,25.1,49,387,304,125,940,979,27.8,3.2,221,2.4,24.4,61.3,61.3,997,0.95,1006,33,25.9,221,8.0,1.6,Kosamba_Vankal,21.43,73.23
0.87,2024-09-29,24.9,49,387,303,125,940,976,28.5,3.1,205,1.6,24.8,3.5,3.5,1001,0.93,1009,60,26.1,205,5.2,1.3,Kosamba_Vankal,21.43,73.23
0.58,2024-09-30,25.3,48,386,302,125,940,973,31.5,7.1,263,2.4,24.8,0.3,0.3,1001,0.87,1010,219,27.8,263,6.0,1.3,Kosamba_Vankal,21.43,73.23
0.3,2024-10-01,26.5,48,386,300,125,939,970,33.3,6.7,279,2.4,25.6,0.0,0.0,999,0.85,1008,291,29.4,279,5.6,1.6,Kosamba_Vankal,21.43,73.23
0.53,2024-10-02,26.6,48,385,299,124,939,967,34.4,6.3,229,2.8,27.0,8.3,8.3,1000,0.83,1008,239,29.8,229,5.6,1.7,Kosamba_Vankal,21.43,73.23
0.38,2024-10-03,26.4,48,385,298,124,939,964,33.3,6.5,229,3.2,27.4,0.0,0.0,1000,0.84,1008,279,29.4,229,6.4,2.2,Kosamba_Vankal,21.43,73.23
0.43,2024-10-04,25.1,48,384,296,124,939,961,32.2,6.3,231,3.2,26.7,0.0,0.0,1000,0.81,1009,263,28.8,231,6.8,2.3,Kosamba_Vankal,21.43,73.23
0.28,2024-10-05,24.6,48,384,295,124,938,958,32.6,7.2,243,2.0,25.6,0.0,0.0,1001,0.79,1009,280,28.8,243,4.4,1.4,Kosamba_Vankal,21.43,73.23
0.14,2024-10-06,24.4,48,383,294,124,938,955,33.7,8.5,65,2.8,25.2,0.0,0.0,1001,0.77,1010,289,29.0,65,6.8,1.5,Kosamba_Vankal,21.43,73.23
0.18,2024-10-07,22.9,48,382,292,124,938,952,35.9,9.5,62,3.2,25.9,0.0,0.0,1002,0.66,1011,292,30.6,62,7.2,2.2,Kosamba_Vankal,21.43,73.23
0.1,2024-10-08,22.7,48,382,291,124,937,949,35.9,8.7,78,2.4,25.9,0.0,0.0,1002,0.65,1011,290,30.6,78,6.0,1.9,Kosamba_Vankal,21.43,73.23
0.56,2024-10-09,23.3,48,381,289,124,937,945,34.8,5.1,109,2.0,25.9,9.0,9.0,1001,0.69,1009,171,30.0,109,6.0,1.5,Kosamba_Vankal,21.43,73.23
0.83,2024-10-10,23.7,47,381,288,124,937,942,31.9,3.0,108,4.0,25.9,23.5,23.5,999,0.76,1008,113,28.5,108,8.4,2.6,Kosamba_Vankal,21.43,73.23
0.98,2024-10-11,24.7,47,380,286,123,936,939,31.9,2.9,47,3.2,25.9,17.5,17.5,999,0.8,1008,70,28.5,47,10.8,2.3,Kosamba_Vankal,21.43,73.23
0.89,2024-10-12,24.6,47,379,285,123,936,935,32.6,2.9,89,3.6,25.9,7.0,7.0,999,0.79,1008,78,28.8,89,8.0,2.4,Kosamba_Vankal,21.43,73.23
0.55,2024-10-13,25.1,47,379,284,123,936,932,33.3,7.7,132,2.4,25.9,34.5,34.5,1000,0.81,1009,274,28.8,132,6.8,1.4,Kosamba_Vankal,21.43,73.23
0.8,2024-10-14,24.9,47,378,282,123,935,928,33.3,5.1,98,2.8,25.2,5.3,5.3,1001,0.8,1010,214,28.8,98,6.0,1.9,Kosamba_Vankal,21.43,73.23
0.93,2024-10-15,25.0,47,378,281,123,935,925,34.4,3.5,112,2.0,25.9,0.0,0.0,1001,0.77,1010,132,29.8,112,6.0,1.4,Kosamba_Vankal,21.43,73.23
0.39,2024-10-16,25.9,47,377,279,123,935,921,34.4,6.6,172,1.6,26.7,7.0,7.0,1000,0.8,1009,266,29.8,172,4.8,1.0,Kosamba_Vankal,21.43,73.23
0.77,2024-10-17,25.5,47,376,278,123,934,918,34.8,4.7,70,2.0,26.3,2.0,2.0,999,0.76,1008,168,30.6,70,6.0,1.4,Kosamba_Vankal,21.43,73.23
0.86,2024-10-18,25.3,47,376,276,122,934,914,35.6,3.5,100,3.6,27.0,10.3,10.3,999,0.74,1008,126,30.7,100,6.8,2.0,Kosamba_Vankal,21.43,73.23
0.96,2024-10-19,24.8,47,375,275,122,933,911,33.7,2.9,157,2.8,25.6,12.0,12.0,1001,0.81,1010,99,28.6,157,5.6,1.3,Kosamba_Vankal,21.43,73.23
0.66,2024-10-20,24.7,46,374,273,122,933,907,31.9,6.2,154,2.4,24.4,0.5,0.5,1002,0.83,1011,259,27.9,154,5.2,1.5,Kosamba_Vankal,21.43,73.23
0.54,2024-10-21,24.4,46,373,272,122,932,904,32.6,6.6,97,2.0,26.3,5.3,5.3,1002,0.79,1011,218,28.5,97,4.8,1.1,Kosamba_Vankal,21.43,73.23
0.29,2024-10-22,24.5,46,373,270,122,932,900,33.7,7.9,70,2.4,25.6,20.3,20.3,1002,0.78,1011,269,28.9,70,4.4,1.5,Kosamba_Vankal,21.43,73.23
0.11,2024-10-23,24.0,46,372,269,122,931,896,34.1,7.5,114,2.4,25.9,0.0,0.0,1002,0.73,1011,267,29.8,114,5.6,1.6,Kosamba_Vankal,21.43,73.23
0.14,2024-10-24,22.6,46,371,267,122,931,893,34.4,7.0,132,2.0,25.2,0.0,0.0,1002,0.7,1011,263,29.4,132,6.0,1.3,Kosamba_Vankal,21.43,73.23
0.4,2024-10-25,20.4,46,371,266,121,930,889,34.4,5.6,84,2.4,23.0,0.0,0.0,1002,0.64,1011,209,28.5,84,5.6,1.9,Kosamba_Vankal,21.43,73.23
