clouds,datetime,dewpt,dhi,dni,ghi,max_dhi,max_dni,max_ghi,max_temp,max_temp_ts,max_uv,max_wind_dir,max_wind_spd,max_wind_spd_ts,min_temp,min_temp_ts,precip,precip_gpm,pres,revision_status,rh,slp,snow,snow_depth,solar_rad,t_dhi,t_dni,t_ghi,t_solar_rad,temp,ts,wind_dir,wind_gust_spd,wind_spd,market_name,query_lat,query_lon
58,2024-09-13,24.5,51,400,322,126,941,1014,31.1,1726246800,7.0,225,4.8,1726246800,25.9,1726185600,0.0,0.0,998,final,82,1007,0,0,274,1170,9194,7417,6304,27.9,1726165800,225,12.4,3.7,Kosamba_Vankal,21.43,73.23
48,2024-09-14,23.8,51,399,321,126,941,1012,30.4,1726257600,7.2,213,4.4,1726257600,24.4,1726290000,3.0,3.0,997,final,82,1006,0,0,280,1166,9171,7391,6444,27.2,1726252200,213,10.4,3.5,Kosamba_Vankal,21.43,73.23
50,2024-09-15,23.6,51,398,320,126,941,1010,30.4,1726390800,7.6,235,4.0,1726412400,23.7,1726340400,0.0,0.0,998,final,82,1007,0,0,300,1163,9147,7365,6897,27.2,1726338600,235,8.4,2.9,Kosamba_Vankal,21.43,73.23
38,2024-09-16,23.3,50,397,319,126,941,1008,32.2,1726477200,9.1,258,3.6,1726473600,25.2,1726444800,0.0,0.0,999,final,77,1008,0,0,305,1160,9123,7338,7010,28.2,1726425000,258,7.6,2.5,Kosamba_Vankal,21.43,73.23
26,2024-09-17,23.4,50,396,318,126,941,1006,32.2,1726563600,8.5,263,3.2,1726556400,25.2,1726531200,0.0,0.0,999,final,76,1008,0,0,313,1157,9098,7311,7206,28.3,1726511400,263,6.8,2.2,Kosamba_Vankal,21.43,73.23
74,2024-09-18,23.9,50,395,317,126,941,1004,31.9,1726650000,3.9,244,3.6,1726657200,25.2,1726614000,0.0,0.0,997,final,80,1006,0,0,146,1153,9074,7284,3364,28.0,1726597800,244,7.6,2.2,Kosamba_Vankal,21.43,73.23
30,2024-09-19,24.5,50,393,316,126,941,1002,33.0,1726736400,7.0,229,3.2,1726732800,25.9,1726700400,0.0,0.0,998,final,78,1007,0,0,296,1149,9050,7257,6816,28.9,1726684200,229,7.2,2.7,Kosamba_Vankal,21.43,73.23
25,2024-09-20,24.3,50,392,314,125,941,999,33.0,1726822800,8.5,230,3.6,1726830000,26.3,1726786800,0.0,0.0,998,final,77,1007,0,0,300,1146,9026,7229,6898,29.1,1726770600,230,7.6,2.7,Kosamba_Vankal,21.43,73.23
35,2024-09-21,24.9,50,391,313,125,941,997,32.6,1726909200,6.7,241,3.2,1726858800,26.3,1726873200,3.8,3.8,999,final,79,1008,0,0,264,1142,9004,7201,6074,29.1,1726857000,241,6.4,2.6,Kosamba_Vankal,21.43,73.23
55,2024-09-22,25.6,49,391,312,125,941,995,32.2,1726995600,7.8,258,3.6,1726995600,25.9,1726970400,0.0,0.0,999,final,82,1007,0,0,266,1138,8982,7172,6108,29.2,1726943400,258,6.8,2.0,Kosamba_Vankal,21.43,73.23
