clouds (%),Date ,dewpt (°C),dhi (W/m²),dni (W/m²),ghi (W/m²),max_dhi (W/m²),max_dni (W/m²),max_ghi (W/m²),max_temp (°C),max_uv (Index),max_wind_dir (°),max_wind_spd (m/s),min_temp (°C),precip (mm),precip_gpm (mm/hr),pres (hPa),rh (%),slp (hPa),solar_rad (W/m²),temp (°C),wind_dir (°),wind_gust_spd (m/s),wind_spd (m/s),market_name (Text),query_lat (°),query_lon (°)
0.0,2024-01-01,13.2,41,339,216,116,910,760,30.0,6.3,263,3.6,18.1,0.0,0.0,1012,0.54,1014,216,23.3,263,7.6,2.7,Mahuva,21.0971295574681,71.7605575278939
0.0,2024-01-02,13.3,41,339,216,116,910,761,28.9,6.3,277,3.6,17.8,0.0,0.0,1011,0.58,1013,216,22.5,277,7.6,2.8,Mahuva,21.0971295574681,71.7605575278939
0.0,2024-01-03,12.6,41,339,217,116,911,762,27.8,6.3,136,4.0,16.3,0.0,0.0,1011,0.58,1013,217,21.7,136,8.8,3.4,Mahuva,21.0971295574681,71.7605575278939
0.01,2024-01-04,12.8,41,339,217,116,911,763,27.8,6.3,118,4.4,15.9,0.0,0.0,1011,0.6,1014,217,21.4,118,9.2,3.8,Mahuva,21.0971295574681,71.7605575278939
0.0,2024-01-05,11.2,42,339,218,116,911,765,27.8,6.3,92,5.2,15.2,0.0,0.0,1012,0.54,1014,218,21.3,92,9.2,4.0,Mahuva,21.0971295574681,71.7605575278939
0.14,2024-01-06,13.2,42,340,218,116,912,766,27.0,6.3,21,5.2,16.7,0.0,0.0,1012,0.61,1015,218,21.2,21,10.8,4.5,Mahuva,21.0971295574681,71.7605575278939
0.12,2024-01-07,14.6,42,340,219,116,912,768,28.1,6.1,22,5.2,17.8,0.0,0.0,1012,0.63,1014,219,22.1,22,9.6,4.6,Mahuva,21.0971295574681,71.7605575278939
0.31,2024-01-08,17.2,42,340,220,116,913,770,29.3,5.9,17,5.2,19.3,0.0,0.0,1012,0.69,1014,217,23.4,17,9.2,4.4,Mahuva,21.0971295574681,71.7605575278939
0.21,2024-01-09,15.3,42,341,220,116,913,771,28.1,5.8,10,6.0,19.6,0.0,0.0,1012,0.6,1014,219,23.7,10,12.0,5.5,Mahuva,21.0971295574681,71.7605575278939
0.26,2024-01-10,15.0,42,341,221,117,914,773,28.5,4.5,13,5.2,18.9,0.0,0.0,1012,0.6,1015,207,23.4,13,9.2,4.4,Mahuva,21.0971295574681,71.7605575278939
0.0,2024-01-11,16.8,42,341,222,117,914,775,29.6,6.5,18,4.4,19.3,0.0,0.0,1013,0.65,1015,222,24.0,18,9.6,4.1,Mahuva,21.0971295574681,71.7605575278939
0.02,2024-01-12,17.7,42,342,223,117,915,777,31.5,6.5,26,4.0,20.0,0.0,0.0,1012,0.65,1014,223,25.0,26,8.8,3.1,Mahuva,21.0971295574681,71.7605575278939
0.0,2024-01-13,13.8,42,342,224,117,916,780,31.9,6.5,281,3.6,20.0,0.0,0.0,1012,0.51,1015,224,24.9,281,7.6,2.7,Mahuva,21.0971295574681,71.7605575278939
0.0,2024-01-14,9.4,42,343,224,117,916,782,30.0,6.6,174,3.2,18.1,0.0,0.0,1013,0.42,1016,224,23.4,174,8.0,2.6,Mahuva,21.0971295574681,71.7605575278939
