clouds,datetime,dewpt,dhi,dni,ghi,max_dhi,max_dni,max_ghi,max_temp,max_temp_ts,max_uv,max_wind_dir,max_wind_spd,max_wind_spd_ts,min_temp,min_temp_ts,precip,precip_gpm,pres,revision_status,rh,slp,snow,snow_depth,solar_rad,t_dhi,t_dni,t_ghi,t_solar_rad,temp,ts,wind_dir,wind_gust_spd,wind_spd,market_name,query_lat,query_lon
0,2024-01-01,18.3,42,343,218,116,913,768,30.7,1704063600,6.4,175,3.2,1704063600,18.9,1704067200,0.0,0.0,1006,final,73,1013,0,0,218,962,7879,5022,5022,23.8,1704047400,175,6.8,1.7,Mahuva_Anaval,20.84,73.26
1,2024-01-02,18.1,42,343,219,116,913,769,28.9,1704186000,6.4,167,3.6,1704189600,17.8,1704160800,0.0,0.0,1006,final,78,1013,0,0,219,963,7884,5032,5032,22.5,1704133800,167,7.2,1.8,Mahuva_Anaval,20.84,73.26
10,2024-01-03,18.0,42,343,219,116,913,771,27.8,1704272400,6.3,145,2.8,1704272400,17.0,1704247200,0.0,0.0,1005,final,82,1013,0,0,218,964,7889,5043,5025,21.7,1704220200,145,6.4,2.0,Mahuva_Anaval,20.84,73.26
2,2024-01-04,16.9,42,343,220,116,914,772,28.1,1704358800,6.1,159,2.4,1704358800,16.3,1704326400,0.0,0.0,1005,final,77,1013,0,0,220,965,7894,5056,5052,21.6,1704306600,159,5.6,1.7,Mahuva_Anaval,20.84,73.26
3,2024-01-05,16.6,42,343,220,117,914,773,28.1,1704445200,6.4,123,3.6,1704423600,16.7,1704420000,0.0,0.0,1006,final,75,1013,0,0,220,966,7900,5069,5066,21.7,1704393000,123,6.4,2.3,Mahuva_Anaval,20.84,73.26
29,2024-01-06,16.2,42,344,221,117,915,775,28.9,1704531600,5.4,41,3.2,1704524400,17.0,1704499200,0.0,0.0,1006,final,69,1013,0,0,217,967,7907,5082,4992,22.5,1704479400,41,6.4,2.5,Mahuva_Anaval,20.84,73.26
35,2024-01-07,17.3,42,344,222,117,915,776,29.6,1704618000,5.3,112,3.2,1704639600,20.0,1704582000,0.0,0.0,1006,final,68,1013,0,0,220,968,7914,5097,5067,23.9,1704565800,112,6.4,2.2,Mahuva_Anaval,20.84,73.26
16,2024-01-08,17.6,42,344,222,117,916,778,32.2,1704704400,6.2,161,3.2,1704715200,20.7,1704672000,0.0,0.0,1006,final,64,1013,0,0,222,969,7922,5113,5109,25.2,1704652200,161,6.8,2.4,Mahuva_Anaval,20.84,73.26
37,2024-01-09,18.3,42,345,223,117,916,780,28.9,1704790800,4.7,129,2.4,1704747600,19.6,1704765600,1.0,1.0,1006,final,71,1013,0,0,174,970,7930,5129,3996,24.2,1704738600,129,4.4,1.5,Mahuva_Anaval,20.84,73.26
13,2024-01-10,19.3,42,345,224,117,917,782,29.6,1704877200,6.3,132,2.8,1704888000,20.7,1704852000,0.0,0.0,1007,final,73,1014,0,0,224,972,7939,5146,5142,24.6,1704825000,132,6.0,1.7,Mahuva_Anaval,20.84,73.26
5,2024-01-11,20.1,42,346,225,117,917,784,30.4,1704963600,6.0,79,2.8,1704974400,20.0,1704938400,0.0,0.0,1007,final,76,1014,0,0,224,973,7948,5164,5152,24.9,1704911400,79,5.2,1.7,Mahuva_Anaval,20.84,73.26
6,2024-01-12,19.3,42,346,225,117,918,786,33.3,1705050000,6.5,145,2.8,1705060800,21.1,1705024800,0.0,0.0,1006,final,68,1014,0,0,225,975,7958,5183,5182,26.1,1704997800,145,5.6,2.1,Mahuva_Anaval,20.84,73.26
0,2024-01-13,19.0,42,346,226,117,918,788,32.2,1705136400,6.6,199,3.2,1705136400,20.0,1705111200,0.0,0.0,1007,final,70,1014,0,0,226,976,7968,5203,5203,25.3,1705084200,199,7.2,1.9,Mahuva_Anaval,20.84,73.26
0,2024-01-14,15.1,43,347,227,118,919,791,29.6,1705222800,6.7,163,3.2,1705222800,18.9,1705197600,0.0,0.0,1008,final,63,1015,0,0,227,978,7979,5223,5223,23.4,1705170600,163,6.8,2.0,Mahuva_Anaval,20.84,73.26
0,2024-01-15,11.3,43,347,228,118,919,793,28.5,1705309200,6.7,185,2.4,1705320000,15.2,1705284000,0.0,0.0,1007,final,56,1015,0,0,228,980,7991,5244,5244,21.2,1705257000,185,5.6,1.8,Mahuva_Anaval,20.84,73.26
26,2024-01-16,12.0,43,348,229,118,920,795,28.9,1705395600,6.5,214,2.8,1705388400,13.0,1705363200,0.0,0.0,1005,final,61,1012,0,0,220,982,8003,5266,5050,20.8,1705343400,214,5.6,1.5,Mahuva_Anaval,20.84,73.26
37,2024-01-17,12.2,43,348,230,118,921,798,28.1,1705482000,3.7,178,2.4,1705489200,14.1,1705456800,0.0,0.0,1004,final,61,1012,0,0,182,984,8015,5288,4196,20.6,1705429800,178,6.4,1.6,Mahuva_Anaval,20.84,73.26
1,2024-01-18,13.7,43,349,231,118,921,801,27.8,1705568400,6.8,203,2.4,1705568400,15.2,1705536000,0.0,0.0,1006,final,65,1013,0,0,231,986,8028,5311,5311,21.1,1705516200,203,5.2,1.7,Mahuva_Anaval,20.84,73.26
1,2024-01-19,14.4,43,350,232,118,922,803,30.0,1705654800,6.9,158,2.8,1705665600,14.8,1705622400,0.0,0.0,1006,final,65,1013,0,0,232,988,8041,5335,5335,21.8,1705602600,158,5.6,1.8,Mahuva_Anaval,20.84,73.26
27,2024-01-20,13.7,43,350,233,118,923,806,28.5,1705741200,6.9,175,3.2,1705752000,15.9,1705716000,0.0,0.0,1007,final,61,1014,0,0,229,990,8055,5360,5261,21.8,1705689000,175,7.2,2.2,Mahuva_Anaval,20.84,73.26
63,2024-01-21,11.1,43,351,234,119,923,809,28.9,1705827600,2.5,42,3.6,1705845600,16.7,1705795200,0.0,0.0,1008,final,51,1015,0,0,72,992,8070,5385,1645,22.4,1705775400,42,8.0,2.9,Mahuva_Anaval,20.84,73.26
54,2024-01-22,11.4,43,351,235,119,924,812,29.3,1705914000,5.4,165,4.0,1705914000,15.6,1705881600,0.0,0.0,1008,final,52,1015,0,0,211,994,8084,5411,4864,21.9,1705861800,165,7.6,2.2,Mahuva_Anaval,20.84,73.26
2,2024-01-23,7.9,43,352,236,119,925,815,28.1,1706000400,7.0,61,3.6,1706000400,14.4,1705978800,0.0,0.0,1008,final,46,1016,0,0,236,996,8099,5437,5437,20.8,1705948200,61,8.4,2.7,Mahuva_Anaval,20.84,73.26
3,2024-01-24,8.2,43,353,238,119,925,818,28.5,1706086800,7.1,49,3.6,1706086800,14.4,1706036400,0.0,0.0,1008,final,46,1015,0,0,238,999,8115,5464,5464,21.1,1706034600,49,8.0,2.7,Mahuva_Anaval,20.84,73.26
1,2024-01-25,9.2,44,354,239,119,926,821,30.0,1706173200,7.1,92,2.8,1706173200,13.3,1706148000,0.0,0.0,1009,final,48,1016,0,0,239,1001,8131,5492,5492,21.5,1706121000,92,6.4,2.1,Mahuva_Anaval,20.84,73.26
30,2024-01-26,10.5,44,354,240,119,927,824,31.5,1706259600,7.0,155,3.2,1706259600,15.6,1706209200,0.0,0.0,1009,final,48,1017,0,0,240,1003,8147,5520,5518,22.6,1706207400,155,5.6,2.0,Mahuva_Anaval,20.84,73.26
80,2024-01-27,12.8,44,355,241,119,928,827,32.6,1706346000,5.0,168,2.8,1706342400,16.3,1706313600,0.0,0.0,1009,final,54,1017,0,0,120,1006,8164,5548,2771,23.5,1706293800,168,5.6,2.0,Mahuva_Anaval,20.84,73.26
72,2024-01-28,13.6,44,356,243,120,928,831,31.9,1706432400,4.4,199,3.6,1706421600,14.8,1706400000,0.0,0.0,1009,final,60,1016,0,0,203,1008,8181,5578,4673,22.9,1706380200,199,7.2,1.8,Mahuva_Anaval,20.84,73.26
60,2024-01-29,13.0,44,356,244,120,929,834,30.0,1706518800,6.0,185,2.8,1706497200,14.8,1706482800,0.0,0.0,1009,final,60,1016,0,0,228,1011,8199,5607,5243,22.0,1706466600,185,6.8,1.8,Mahuva_Anaval,20.84,73.26
20,2024-01-30,14.1,44,357,245,120,930,837,30.0,1706605200,7.3,186,2.4,1706605200,15.2,1706572800,0.0,0.0,1008,final,63,1015,0,0,242,1014,8216,5637,5575,22.1,1706553000,186,6.4,1.9,Mahuva_Anaval,20.84,73.26
67,2024-01-31,14.6,44,358,246,120,931,841,29.3,1706691600,4.4,192,3.2,1706691600,16.3,1706659200,0.0,0.0,1007,final,63,1015,0,0,172,1016,8234,5668,3957,22.6,1706639400,192,6.8,1.4,Mahuva_Anaval,20.84,73.26
22,2024-02-01,16.8,44,359,248,120,931,844,28.9,1706742000,7.3,232,2.8,1706742000,16.7,1706752800,0.0,0.0,1008,final,73,1015,0,0,247,1019,8253,5699,5692,22.2,1706725800,232,6.8,1.7,Mahuva_Anaval,20.84,73.26
26,2024-02-02,16.4,44,360,249,121,932,848,29.6,1706864400,4.5,146,2.4,1706871600,16.7,1706839200,0.0,0.0,1009,final,70,1016,0,0,203,1022,8271,5730,4680,22.9,1706812200,146,6.4,1.8,Mahuva_Anaval,20.84,73.26
1,2024-02-03,15.3,45,360,251,121,933,851,33.3,1706950800,7.6,148,2.8,1706961600,18.1,1706925600,0.0,0.0,1008,final,59,1015,0,0,251,1024,8290,5762,5762,24.8,1706898600,148,5.6,2.0,Mahuva_Anaval,20.84,73.26
0,2024-02-04,15.8,45,361,252,121,934,855,34.4,1707037200,7.7,172,3.2,1707037200,18.5,1707012000,0.0,0.0,1008,final,57,1016,0,0,252,1027,8309,5794,5794,25.7,1706985000,172,5.6,1.8,Mahuva_Anaval,20.84,73.26
0,2024-02-05,17.0,45,362,253,121,934,858,31.5,1707123600,7.7,241,2.8,1707123600,19.3,1707091200,0.0,0.0,1009,final,63,1016,0,0,253,1030,8328,5827,5827,25.0,1707071400,241,6.4,1.6,Mahuva_Anaval,20.84,73.26
7,2024-02-06,17.7,45,363,255,121,935,862,31.9,1707210000,7.8,205,2.8,1707217200,18.9,1707184800,0.0,0.0,1009,final,66,1016,0,0,242,1034,8348,5860,5577,25.0,1707157800,205,6.4,1.4,Mahuva_Anaval,20.84,73.26
21,2024-02-07,16.5,45,364,256,121,936,866,31.1,1707296400,7.7,158,4.0,1707296400,18.5,1707264000,0.0,0.0,1010,final,63,1017,0,0,241,1038,8368,5893,5535,24.6,1707244200,158,7.2,2.2,Mahuva_Anaval,20.84,73.26
49,2024-02-08,14.3,45,365,258,122,936,869,30.4,1707382800,7.7,119,3.2,1707400800,18.9,1707357600,0.0,0.0,1009,final,56,1016,0,0,229,1042,8389,5927,5256,24.3,1707330600,119,7.6,2.4,Mahuva_Anaval,20.84,73.26
23,2024-02-09,14.8,45,366,259,122,937,873,30.7,1707469200,8.0,173,3.2,1707476400,16.7,1707444000,0.0,0.0,1008,final,62,1015,0,0,257,1046,8411,5961,5916,23.3,1707417000,173,6.8,1.8,Mahuva_Anaval,20.84,73.26
0,2024-02-10,13.0,46,367,261,122,938,877,30.4,1707555600,8.0,188,3.6,1707559200,17.0,1707530400,0.0,0.0,1009,final,56,1016,0,0,261,1050,8435,5995,5995,22.9,1707503400,188,7.2,2.1,Mahuva_Anaval,20.84,73.26
4,2024-02-11,13.3,46,368,262,122,939,881,30.4,1707642000,8.1,186,2.8,1707649200,15.9,1707616800,0.0,0.0,1009,final,59,1017,0,0,262,1054,8459,6030,6030,22.5,1707589800,186,6.0,1.7,Mahuva_Anaval,20.84,73.26
96,2024-02-12,14.0,46,369,264,122,939,884,30.7,1707728400,2.8,194,3.2,1707678000,15.9,1707696000,0.0,0.0,1008,final,60,1016,0,0,86,1057,8485,6065,1974,23.0,1707676200,194,6.8,1.7,Mahuva_Anaval,20.84,73.26
98,2024-02-13,13.3,46,370,265,122,940,888,30.0,1707814800,2.6,190,3.6,1707814800,16.3,1707782400,0.0,0.0,1008,final,58,1016,0,0,71,1061,8511,6100,1627,22.7,1707762600,190,7.6,2.0,Mahuva_Anaval,20.84,73.26
53,2024-02-14,13.4,46,371,267,123,941,892,30.4,1707901200,5.1,162,2.4,1707901200,17.4,1707868800,0.0,0.0,1008,final,56,1016,0,0,209,1065,8537,6135,4803,23.6,1707849000,162,6.4,2.1,Mahuva_Anaval,20.84,73.26
0,2024-02-15,14.8,46,372,268,123,941,896,33.3,1707987600,8.4,128,2.4,1707966000,16.3,1707962400,0.0,0.0,1007,final,58,1014,0,0,268,1069,8564,6171,6171,24.3,1707935400,128,5.6,1.7,Mahuva_Anaval,20.84,73.26
19,2024-02-16,16.2,47,374,270,123,942,900,35.6,1708074000,6.9,103,3.6,1708081200,20.7,1708041600,0.0,0.0,1007,final,54,1014,0,0,261,1073,8591,6206,5998,27.2,1708021800,103,8.0,2.1,Mahuva_Anaval,20.84,73.26
20,2024-02-17,15.4,47,375,271,123,943,903,35.2,1708160400,8.3,197,3.6,1708135200,21.1,1708135200,0.0,0.0,1005,final,50,1012,0,0,263,1076,8618,6242,6045,27.7,1708108200,197,7.2,2.0,Mahuva_Anaval,20.84,73.26
1,2024-02-18,16.6,47,376,273,123,943,907,34.4,1708254000,8.6,226,3.6,1708275600,18.9,1708214400,0.0,0.0,1004,final,59,1012,0,0,273,1080,8645,6278,6278,26.3,1708194600,226,7.2,2.0,Mahuva_Anaval,20.84,73.26
28,2024-02-19,14.1,47,377,275,123,944,911,33.3,1708333200,8.1,218,3.6,1708333200,18.1,1708308000,0.0,0.0,1005,final,52,1013,0,0,269,1084,8671,6314,6191,25.4,1708281000,218,8.4,2.0,Mahuva_Anaval,20.84,73.26
20,2024-02-20,15.2,47,378,276,124,944,915,31.5,1708419600,8.7,216,4.0,1708419600,17.4,1708387200,0.0,0.0,1006,final,59,1013,0,0,276,1087,8698,6350,6349,24.5,1708367400,216,8.8,2.1,Mahuva_Anaval,20.84,73.26
32,2024-02-21,19.0,47,379,278,124,945,919,28.9,1708506000,7.6,240,4.0,1708516800,20.0,1708473600,0.0,0.0,1006,final,75,1013,0,0,274,1091,8724,6386,6305,24.1,1708453800,240,8.8,2.6,Mahuva_Anaval,20.84,73.26
25,2024-02-22,17.6,48,380,279,124,946,922,29.3,1708599600,8.8,246,3.6,1708581600,21.1,1708560000,0.0,0.0,1006,final,69,1013,0,0,278,1095,8750,6422,6400,24.4,1708540200,246,8.4,2.5,Mahuva_Anaval,20.84,73.26
0,2024-02-25,5.4,48,384,284,124,947,934,31.5,1708851600,9.1,39,4.0,1708862400,15.9,1708826400,0.0,0.0,1005,final,32,1012,0,0,284,1105,8827,6530,6530,23.8,1708799400,39,9.2,2.9,Mahuva_Anaval,20.84,73.26
79,2024-02-26,11.8,48,385,285,125,948,937,34.4,1708938000,4.1,167,3.6,1708887600,17.4,1708905600,0.0,0.0,1003,final,44,1011,0,0,152,1108,8852,6566,3485,25.6,1708885800,167,8.0,2.4,Mahuva_Anaval,20.84,73.26
10,2024-02-27,14.7,48,386,287,125,948,941,33.7,1709024400,8.1,238,2.8,1709031600,20.0,1708992000,0.0,0.0,1005,final,50,1012,0,0,287,1112,8876,6602,6597,26.5,1708972200,238,6.8,1.8,Mahuva_Anaval,20.84,73.26
1,2024-02-28,15.6,48,387,289,125,949,945,34.8,1709110800,9.3,179,3.2,1709121600,20.4,1709078400,0.0,0.0,1004,final,51,1012,0,0,289,1115,8900,6638,6637,27.2,1709058600,179,6.4,1.9,Mahuva_Anaval,20.84,73.26
20,2024-02-29,17.1,49,388,290,125,949,948,37.4,1709197200,8.5,171,3.2,1709208000,20.7,1709164800,0.0,0.0,1004,final,53,1011,0,0,285,1118,8924,6673,6554,28.5,1709145000,171,6.0,1.8,Mahuva_Anaval,20.84,73.26
7,2024-03-01,17.2,49,389,292,125,950,952,34.1,1709247600,9.3,207,3.6,1709247600,22.2,1709251200,0.0,0.0,1005,final,56,1012,0,0,292,1121,8947,6708,6708,27.5,1709231400,207,8.4,2.4,Mahuva_Anaval,20.84,73.26
5,2024-03-02,19.3,49,390,293,125,950,955,30.0,1709366400,9.5,219,4.8,1709388000,21.5,1709337600,0.0,0.0,1005,final,69,1012,0,0,293,1124,8970,6743,6743,25.7,1709317800,219,10.8,3.2,Mahuva_Anaval,20.84,73.26
23,2024-03-03,16.2,49,391,295,125,951,959,27.0,1709463600,9.6,267,4.0,1709445600,18.9,1709434800,0.0,0.0,1006,final,64,1014,0,0,294,1128,8992,6778,6765,23.8,1709404200,267,9.2,2.9,Mahuva_Anaval,20.84,73.26
0,2024-03-04,10.9,49,392,296,126,951,962,29.6,1709542800,9.6,185,2.8,1709539200,14.4,1709499600,0.0,0.0,1007,final,54,1014,0,0,296,1131,9014,6813,6813,22.0,1709490600,185,7.2,1.9,Mahuva_Anaval,20.84,73.26
0,2024-03-05,8.5,49,393,298,126,951,966,31.9,1709632800,9.7,183,4.0,1709629200,14.8,1709604000,0.0,0.0,1006,final,42,1014,0,0,298,1134,9035,6847,6847,23.0,1709577000,183,8.8,2.3,Mahuva_Anaval,20.84,73.26
3,2024-03-06,8.9,49,394,299,126,952,969,31.5,1709715600,9.8,202,3.6,1709726400,16.7,1709679600,0.0,0.0,1006,final,43,1013,0,0,299,1137,9056,6882,6879,23.5,1709663400,202,8.0,2.0,Mahuva_Anaval,20.84,73.26
1,2024-03-07,10.0,50,395,301,126,952,972,32.6,1709802000,9.8,178,3.6,1709809200,17.0,1709769600,0.0,0.0,1006,final,41,1013,0,0,301,1139,9077,6915,6915,25.0,1709749800,178,8.0,2.0,Mahuva_Anaval,20.84,73.26
0,2024-03-08,11.2,50,396,302,126,952,976,32.6,1709888400,9.9,159,3.6,1709877600,17.8,1709856000,0.0,0.0,1006,final,42,1013,0,0,302,1142,9097,6949,6949,25.7,1709836200,159,7.6,2.4,Mahuva_Anaval,20.84,73.26
7,2024-03-09,10.8,50,396,304,126,953,979,33.3,1709974800,10.0,151,4.0,1709964000,18.5,1709949600,0.0,0.0,1006,final,42,1013,0,0,303,1145,9116,6982,6962,25.6,1709922600,151,7.6,2.4,Mahuva_Anaval,20.84,73.26
1,2024-03-10,10.1,50,397,305,126,953,982,33.3,1710061200,10.0,214,3.6,1710061200,17.4,1710025200,0.0,0.0,1006,final,41,1014,0,0,305,1148,9136,7015,7015,25.3,1710009000,214,8.4,1.7,Mahuva_Anaval,20.84,73.26
0,2024-03-11,12.4,50,398,306,126,953,985,34.4,1710147600,10.1,195,2.8,1710136800,19.6,1710111600,0.0,0.0,1008,final,42,1015,0,0,306,1150,9154,7048,7048,27.1,1710095400,195,6.4,1.8,Mahuva_Anaval,20.84,73.26
0,2024-03-12,15.3,50,399,308,127,954,988,34.1,1710237600,10.2,203,2.8,1710223200,20.4,1710198000,0.0,0.0,1007,final,50,1014,0,0,308,1153,9173,7080,7080,27.3,1710181800,203,7.6,1.9,Mahuva_Anaval,20.84,73.26
4,2024-03-13,17.1,50,400,309,127,954,991,33.0,1710327600,10.2,244,2.8,1710309600,21.5,1710288000,0.0,0.0,1006,final,59,1013,0,0,309,1156,9191,7112,7109,26.6,1710268200,244,7.6,1.8,Mahuva_Anaval,20.84,73.26
0,2024-03-14,16.1,50,400,311,127,954,994,32.6,1710406800,10.3,228,3.2,1710392400,19.3,1710374400,0.0,0.0,1006,final,58,1014,0,0,311,1158,9208,7144,7144,25.7,1710354600,228,7.2,1.7,Mahuva_Anaval,20.84,73.26
0,2024-03-15,15.6,50,401,312,127,954,997,32.6,1710493200,10.4,218,3.2,1710493200,18.1,1710460800,0.0,0.0,1005,final,60,1012,0,0,312,1161,9225,7175,7175,25.1,1710441000,218,6.4,1.7,Mahuva_Anaval,20.84,73.26
0,2024-03-16,15.6,51,402,313,127,955,1000,33.7,1710579600,10.4,232,2.8,1710568800,18.1,1710547200,0.0,0.0,1005,final,59,1013,0,0,313,1163,9241,7205,7205,25.5,1710527400,232,6.0,1.7,Mahuva_Anaval,20.84,73.26
0,2024-03-17,15.4,51,402,315,127,955,1003,33.0,1710673200,10.5,216,3.6,1710658800,18.5,1710633600,0.0,0.0,1005,final,58,1012,0,0,315,1165,9257,7236,7236,25.5,1710613800,216,8.0,2.0,Mahuva_Anaval,20.84,73.26
15,2024-03-18,19.2,51,403,316,127,955,1005,33.3,1710752400,10.6,230,3.2,1710759600,19.6,1710720000,0.0,0.0,1005,final,68,1012,0,0,316,1168,9273,7266,7262,26.2,1710700200,230,7.6,2.1,Mahuva_Anaval,20.84,73.26
8,2024-03-19,16.4,51,404,317,127,955,1008,34.4,1710838800,10.6,256,2.8,1710828000,19.3,1710806400,0.0,0.0,1005,final,59,1012,0,0,317,1170,9288,7295,7293,26.9,1710786600,256,7.2,2.0,Mahuva_Anaval,20.84,73.26
1,2024-03-20,10.6,51,404,318,127,955,1011,35.9,1710928800,10.7,194,2.8,1710921600,20.4,1710892800,0.0,0.0,1005,final,35,1012,0,0,318,1172,9303,7324,7324,28.3,1710873000,194,7.2,2.1,Mahuva_Anaval,20.84,73.26
