clouds,datetime,dewpt,dhi,dni,ghi,max_dhi,max_dni,max_ghi,max_temp,max_temp_ts,max_uv,max_wind_dir,max_wind_spd,max_wind_spd_ts,min_temp,min_temp_ts,precip,precip_gpm,pres,revision_status,rh,slp,snow,snow_depth,solar_rad,t_dhi,t_dni,t_ghi,t_solar_rad,temp,ts,wind_dir,wind_gust_spd,wind_spd,market_name,query_lat,query_lon
0,2024-01-01,13.2,41,339,216,116,910,760,30.0,1704063600,6.3,263,3.6,1704063600,18.1,1704067200,0.0,0.0,1012,final,54,1014,0,0,216,952,7788,4959,4959,23.3,1704047400,263,7.6,2.7,Mahuva,21.0971295574681,71.7605575278939
0,2024-01-02,13.3,41,339,216,116,910,761,28.9,1704186000,6.3,277,3.6,1704189600,17.8,1704160800,0.0,0.0,1011,final,58,1013,0,0,216,952,7791,4970,4970,22.5,1704133800,277,7.6,2.8,Mahuva,21.0971295574681,71.7605575278939
0,2024-01-03,12.6,41,339,217,116,911,762,27.8,1704272400,6.3,136,4.0,1704272400,16.3,1704247200,0.0,0.0,1011,final,58,1013,0,0,217,953,7795,4981,4981,21.7,1704220200,136,8.8,3.4,Mahuva,21.0971295574681,71.7605575278939
1,2024-01-04,12.8,41,339,217,116,911,763,27.8,1704358800,6.3,118,4.4,1704358800,15.9,1704326400,0.0,0.0,1011,final,60,1014,0,0,217,954,7800,4993,4993,21.4,1704306600,118,9.2,3.8,Mahuva,21.0971295574681,71.7605575278939
0,2024-01-05,11.2,42,339,218,116,911,765,27.8,1704445200,6.3,92,5.2,1704423600,15.2,1704420000,0.0,0.0,1012,final,54,1014,0,0,218,955,7806,5006,5006,21.3,1704393000,92,9.2,4.0,Mahuva,21.0971295574681,71.7605575278939
14,2024-01-06,13.2,42,340,218,116,912,766,27.0,1704531600,6.3,21,5.2,1704524400,16.7,1704499200,0.0,0.0,1012,final,61,1015,0,0,218,956,7812,5020,5020,21.2,1704479400,21,10.8,4.5,Mahuva,21.0971295574681,71.7605575278939
12,2024-01-07,14.6,42,340,219,116,912,768,28.1,1704618000,6.1,22,5.2,1704639600,17.8,1704582000,0.0,0.0,1012,final,63,1014,0,0,219,957,7818,5035,5035,22.1,1704565800,22,9.6,4.6,Mahuva,21.0971295574681,71.7605575278939
31,2024-01-08,17.2,42,340,220,116,913,770,29.3,1704704400,5.9,17,5.2,1704715200,19.3,1704672000,0.0,0.0,1012,final,69,1014,0,0,217,958,7826,5051,4991,23.4,1704652200,17,9.2,4.4,Mahuva,21.0971295574681,71.7605575278939
21,2024-01-09,15.3,42,341,220,116,913,771,28.1,1704790800,5.8,10,6.0,1704747600,19.6,1704765600,0.0,0.0,1012,final,60,1014,0,0,219,959,7834,5067,5043,23.7,1704738600,10,12.0,5.5,Mahuva,21.0971295574681,71.7605575278939
26,2024-01-10,15.0,42,341,221,117,914,773,28.5,1704877200,4.5,13,5.2,1704888000,18.9,1704852000,0.0,0.0,1012,final,60,1015,0,0,207,961,7842,5084,4753,23.4,1704825000,13,9.2,4.4,Mahuva,21.0971295574681,71.7605575278939
