clouds,datetime,dewpt,dhi,dni,ghi,max_dhi,max_dni,max_ghi,max_temp,max_temp_ts,max_uv,max_wind_dir,max_wind_spd,max_wind_spd_ts,min_temp,min_temp_ts,precip,precip_gpm,pres,revision_status,rh,slp,snow,snow_depth,solar_rad,t_dhi,t_dni,t_ghi,t_solar_rad,temp,ts,wind_dir,wind_gust_spd,wind_spd,market_name,query_lat,query_lon
0,2024-01-01,15.8,40,331,206,114,903,734,27.0,1704063600,5.9,131,2.4,1704063600,15.2,1704067200,0.0,0.0,1012,final,76,1015,0,0,206,925,7617,4749,4749,20.6,1704047400,131,5.2,1.8,Mandal,23.2821620151596,71.9153455320185
0,2024-01-02,14.5,40,331,207,114,903,736,25.9,1704186000,5.9,169,3.2,1704171600,14.8,1704157200,0.0,0.0,1011,final,72,1014,0,0,207,926,7622,4759,4759,20.1,1704133800,169,6.4,2.3,Mandal,23.2821620151596,71.9153455320185
1,2024-01-03,12.0,40,332,207,114,904,737,25.9,1704272400,5.8,110,3.6,1704254400,13.0,1704243600,0.0,0.0,1011,final,66,1014,0,0,207,927,7628,4771,4771,19.1,1704220200,110,6.4,2.2,Mandal,23.2821620151596,71.9153455320185
0,2024-01-04,10.7,40,332,208,114,904,738,25.6,1704358800,6.0,91,3.6,1704340800,13.7,1704330000,0.0,0.0,1012,final,62,1015,0,0,208,927,7635,4784,4784,18.8,1704306600,91,7.2,2.7,Mandal,23.2821620151596,71.9153455320185
13,2024-01-05,10.0,40,332,209,114,904,740,25.9,1704441600,6.0,30,4.0,1704409200,12.6,1704420000,0.0,0.0,1012,final,59,1015,0,0,204,928,7643,4797,4699,18.6,1704393000,30,6.4,2.5,Mandal,23.2821620151596,71.9153455320185
0,2024-01-06,10.2,40,333,209,114,905,741,25.6,1704538800,6.0,47,4.0,1704524400,13.7,1704502800,0.0,0.0,1013,final,60,1016,0,0,209,929,7651,4812,4812,18.8,1704479400,47,7.6,2.8,Mandal,23.2821620151596,71.9153455320185
1,2024-01-07,11.7,40,333,210,114,905,743,26.7,1704618000,6.0,46,4.4,1704600000,14.1,1704582000,0.0,0.0,1013,final,62,1016,0,0,210,930,7660,4827,4827,19.4,1704565800,46,8.4,3.3,Mandal,23.2821620151596,71.9153455320185
28,2024-01-08,14.6,41,333,211,115,906,745,26.3,1704704400,3.7,93,4.0,1704654000,15.9,1704675600,0.0,0.0,1013,final,69,1016,0,0,185,932,7669,4843,4266,20.8,1704652200,93,7.2,3.1,Mandal,23.2821620151596,71.9153455320185
20,2024-01-09,11.4,41,334,211,115,906,746,27.0,1704798000,5.5,112,5.2,1704776400,17.4,1704762000,0.0,0.0,1013,final,54,1016,0,0,211,933,7679,4861,4855,21.3,1704738600,112,10.0,4.2,Mandal,23.2821620151596,71.9153455320185
2,2024-01-10,12.8,41,334,212,115,907,748,26.7,1704877200,6.1,101,4.0,1704841200,16.3,1704852000,0.0,0.0,1013,final,61,1016,0,0,212,934,7689,4878,4878,20.8,1704825000,101,6.8,3.0,Mandal,23.2821620151596,71.9153455320185
