clouds (%),Date ,dewpt (°C),dhi (W/m²),dni (W/m²),ghi (W/m²),max_dhi (W/m²),max_dni (W/m²),max_ghi (W/m²),max_temp (°C),max_uv (Index),max_wind_dir (°),max_wind_spd (m/s),min_temp (°C),precip (mm),precip_gpm (mm/hr),pres (hPa),rh (%),slp (hPa),solar_rad (W/m²),temp (°C),wind_dir (°),wind_gust_spd (m/s),wind_spd (m/s),market_name (Text),query_lat (°),query_lon (°)
0.02,2024-01-01,17.5,41,342,215,115,912,760,30.0,6.1,146,2.4,18.5,0.0,0.0,1002,0.71,1014,215,23.6,146,6.0,1.6,Nizar_Kukarmuda,21.51,74.13
0.05,2024-01-02,17.6,41,342,215,115,913,761,28.5,6.2,187,2.4,18.1,0.0,0.0,1001,0.75,1013,215,22.7,187,6.4,1.7,Nizar_Kukarmuda,21.51,74.13
0.33,2024-01-03,18.1,41,343,216,115,913,762,27.4,6.2,177,1.6,18.1,0.0,0.0,1000,0.8,1013,205,22.0,177,4.8,1.1,Nizar_Kukarmuda,21.51,74.13
0.17,2024-01-04,17.7,41,343,216,115,913,763,26.7,5.4,71,2.8,18.1,0.0,0.0,1001,0.79,1013,215,21.9,71,6.8,1.6,Nizar_Kukarmuda,21.51,74.13
0.1,2024-01-05,17.3,41,343,217,115,914,765,26.7,5.4,73,2.4,17.8,0.0,0.0,1001,0.79,1013,215,21.4,73,5.6,1.6,Nizar_Kukarmuda,21.51,74.13
0.2,2024-01-06,16.2,42,344,218,115,914,767,26.7,6.0,66,3.2,17.0,0.0,0.0,1002,0.75,1015,217,21.0,66,7.6,2.4,Nizar_Kukarmuda,21.51,74.13
0.46,2024-01-07,16.8,42,344,218,115,915,768,26.3,5.1,80,4.0,18.1,0.8,0.8,1003,0.75,1015,211,21.6,80,8.4,2.9,Nizar_Kukarmuda,21.51,74.13
0.15,2024-01-08,17.4,42,345,219,116,915,770,28.5,6.3,86,3.6,17.8,0.0,0.0,1003,0.74,1015,219,22.5,86,8.8,2.8,Nizar_Kukarmuda,21.51,74.13
0.36,2024-01-09,16.8,42,345,220,116,916,772,27.4,5.3,82,3.2,18.9,0.0,0.0,1002,0.7,1015,203,22.8,82,6.8,2.3,Nizar_Kukarmuda,21.51,74.13
0.14,2024-01-10,17.5,42,345,220,116,916,774,27.8,6.1,82,2.4,19.6,0.0,0.0,1003,0.72,1015,220,23.0,82,6.8,1.7,Nizar_Kukarmuda,21.51,74.13
0.07,2024-01-11,18.5,42,346,221,116,917,776,28.9,6.4,77,2.8,19.3,0.0,0.0,1003,0.75,1015,221,23.4,77,6.4,1.9,Nizar_Kukarmuda,21.51,74.13
0.05,2024-01-12,18.9,42,346,222,116,918,778,30.7,6.5,87,3.2,18.9,0.0,0.0,1003,0.75,1015,222,24.1,87,7.6,2.2,Nizar_Kukarmuda,21.51,74.13
0.03,2024-01-13,18.8,42,347,223,116,918,781,31.9,6.5,161,3.2,19.6,0.0,0.0,1002,0.72,1014,223,24.7,161,6.8,2.1,Nizar_Kukarmuda,21.51,74.13
