clouds,datetime,dewpt,dhi,dni,ghi,max_dhi,max_dni,max_ghi,max_temp,max_temp_ts,max_uv,max_wind_dir,max_wind_spd,max_wind_spd_ts,min_temp,min_temp_ts,precip,precip_gpm,pres,revision_status,rh,slp,snow,snow_depth,solar_rad,t_dhi,t_dni,t_ghi,t_solar_rad,temp,ts,wind_dir,wind_gust_spd,wind_spd,market_name,query_lat,query_lon
2,2024-01-01,17.5,41,342,215,115,912,760,30.0,1704063600,6.1,146,2.4,1704063600,18.5,1704074400,0.0,0.0,1002,final,71,1014,0,0,215,950,7870,4941,4941,23.6,1704047400,146,6.0,1.6,Nizar_Kukarmuda,21.51,74.13
5,2024-01-02,17.6,41,342,215,115,913,761,28.5,1704186000,6.2,187,2.4,1704164400,18.1,1704160800,0.0,0.0,1001,final,75,1013,0,0,215,951,7877,4952,4950,22.7,1704133800,187,6.4,1.7,Nizar_Kukarmuda,21.51,74.13
33,2024-01-03,18.1,41,343,216,115,913,762,27.4,1704272400,6.2,177,1.6,1704240000,18.1,1704240000,0.0,0.0,1000,final,80,1013,0,0,205,952,7884,4963,4710,22.0,1704220200,177,4.8,1.1,Nizar_Kukarmuda,21.51,74.13
17,2024-01-04,17.7,41,343,216,115,913,763,26.7,1704358800,5.4,71,2.8,1704358800,18.1,1704326400,0.0,0.0,1001,final,79,1013,0,0,215,953,7891,4976,4945,21.9,1704306600,71,6.8,1.6,Nizar_Kukarmuda,21.51,74.13
10,2024-01-05,17.3,41,343,217,115,914,765,26.7,1704445200,5.4,73,2.4,1704416400,17.8,1704420000,0.0,0.0,1001,final,79,1013,0,0,215,954,7899,4989,4941,21.4,1704393000,73,5.6,1.6,Nizar_Kukarmuda,21.51,74.13
20,2024-01-06,16.2,42,344,218,115,914,767,26.7,1704531600,6.0,66,3.2,1704531600,17.0,1704506400,0.0,0.0,1002,final,75,1015,0,0,217,956,7907,5003,4998,21.0,1704479400,66,7.6,2.4,Nizar_Kukarmuda,21.51,74.13
46,2024-01-07,16.8,42,344,218,115,915,768,26.3,1704618000,5.1,80,4.0,1704618000,18.1,1704585600,0.8,0.8,1003,final,75,1015,0,0,211,957,7916,5018,4845,21.6,1704565800,80,8.4,2.9,Nizar_Kukarmuda,21.51,74.13
15,2024-01-08,17.4,42,345,219,116,915,770,28.5,1704704400,6.3,86,3.6,1704654000,17.8,1704672000,0.0,0.0,1003,final,74,1015,0,0,219,958,7926,5034,5032,22.5,1704652200,86,8.8,2.8,Nizar_Kukarmuda,21.51,74.13
36,2024-01-09,16.8,42,345,220,116,916,772,27.4,1704790800,5.3,82,3.2,1704790800,18.9,1704758400,0.0,0.0,1002,final,70,1015,0,0,203,960,7936,5051,4673,22.8,1704738600,82,6.8,2.3,Nizar_Kukarmuda,21.51,74.13
14,2024-01-10,17.5,42,345,220,116,916,774,27.8,1704877200,6.1,82,2.4,1704859200,19.6,1704852000,0.0,0.0,1003,final,72,1015,0,0,220,961,7946,5069,5067,23.0,1704825000,82,6.8,1.7,Nizar_Kukarmuda,21.51,74.13
