clouds (%),Date ,dewpt (°C),dhi (W/m²),dni (W/m²),ghi (W/m²),max_dhi (W/m²),max_dni (W/m²),max_ghi (W/m²),max_temp (°C),max_uv (Index),max_wind_dir (°),max_wind_spd (m/s),min_temp (°C),precip (mm),precip_gpm (mm/hr),pres (hPa),rh (%),slp (hPa),solar_rad (W/m²),temp (°C),wind_dir (°),wind_gust_spd (m/s),wind_spd (m/s),market_name (Text),query_lat (°),query_lon (°)
0.01,2024-01-01,18.1,41,342,215,115,912,760,29.3,6.2,168,2.8,18.5,0.0,0.0,1000,0.75,1014,215,23.2,168,6.0,1.7,Nizar_Pumkitalov,21.47,74.1
0.04,2024-01-02,18.6,41,342,215,115,913,761,28.1,6.2,195,2.8,18.9,0.0,0.0,1000,0.8,1013,215,22.6,195,5.6,1.8,Nizar_Pumkitalov,21.47,74.1
0.35,2024-01-03,18.8,41,343,216,115,913,762,27.0,6.2,194,1.6,18.5,0.0,0.0,999,0.82,1013,194,22.3,194,4.8,1.0,Nizar_Pumkitalov,21.47,74.1
0.1,2024-01-04,17.6,41,343,216,115,913,763,27.4,5.1,77,2.8,17.8,0.0,0.0,1000,0.79,1013,216,21.8,77,7.2,1.6,Nizar_Pumkitalov,21.47,74.1
0.07,2024-01-05,17.0,41,343,217,115,914,765,26.7,5.7,107,2.0,17.8,0.0,0.0,1000,0.78,1013,216,21.4,107,6.0,1.6,Nizar_Pumkitalov,21.47,74.1
0.18,2024-01-06,16.3,42,344,218,115,914,767,26.7,6.1,70,3.6,17.4,0.0,0.0,1001,0.75,1014,217,21.1,70,8.8,2.4,Nizar_Pumkitalov,21.47,74.1
0.44,2024-01-07,16.9,42,344,218,115,915,768,25.9,5.4,86,4.4,18.5,0.8,0.8,1001,0.75,1015,211,21.7,86,9.6,3.3,Nizar_Pumkitalov,21.47,74.1
0.13,2024-01-08,17.5,42,345,219,116,915,770,28.5,6.4,86,4.4,18.1,0.0,0.0,1001,0.74,1015,219,22.7,86,10.4,3.2,Nizar_Pumkitalov,21.47,74.1
0.36,2024-01-09,17.0,42,345,220,116,916,772,27.4,5.3,80,3.6,19.6,0.0,0.0,1001,0.69,1015,194,23.1,80,7.6,2.5,Nizar_Pumkitalov,21.47,74.1
0.13,2024-01-10,17.9,42,345,220,116,916,774,27.8,6.1,75,2.8,20.0,0.0,0.0,1001,0.74,1015,220,23.1,75,7.2,2.0,Nizar_Pumkitalov,21.47,74.1
0.06,2024-01-11,18.8,42,346,221,116,917,776,28.5,6.5,74,3.2,20.0,0.0,0.0,1002,0.76,1015,221,23.4,74,6.4,2.1,Nizar_Pumkitalov,21.47,74.1
0.04,2024-01-12,19.3,42,346,222,116,918,778,30.4,6.5,80,3.6,19.6,0.0,0.0,1002,0.76,1015,222,24.1,80,8.4,2.4,Nizar_Pumkitalov,21.47,74.1
0.01,2024-01-13,19.0,42,347,223,116,918,781,31.5,6.5,170,3.2,20.0,0.0,0.0,1001,0.73,1015,223,24.6,170,6.4,2.1,Nizar_Pumkitalov,21.47,74.1
0.0,2024-01-14,15.8,42,348,224,116,919,783,29.3,6.6,309,3.2,17.4,0.0,0.0,1002,0.7,1015,224,22.6,309,6.8,2.0,Nizar_Pumkitalov,21.47,74.1
0.0,2024-01-15,14.6,42,348,225,116,919,785,27.4,6.6,201,2.4,17.0,0.0,0.0,1001,0.65,1015,225,22.2,201,4.4,1.2,Nizar_Pumkitalov,21.47,74.1
0.18,2024-01-16,14.9,42,349,226,117,920,788,28.5,6.6,251,2.8,17.0,0.0,0.0,999,0.67,1012,224,22.1,251,4.8,1.3,Nizar_Pumkitalov,21.47,74.1
0.65,2024-01-17,14.8,42,349,227,117,921,791,27.4,3.6,271,2.4,17.0,0.0,0.0,998,0.69,1012,166,21.6,271,4.4,1.4,Nizar_Pumkitalov,21.47,74.1
