clouds,datetime,dewpt,dhi,dni,ghi,max_dhi,max_dni,max_ghi,max_temp,max_temp_ts,max_uv,max_wind_dir,max_wind_spd,max_wind_spd_ts,min_temp,min_temp_ts,precip,precip_gpm,pres,revision_status,rh,slp,snow,snow_depth,solar_rad,t_dhi,t_dni,t_ghi,t_solar_rad,temp,ts,wind_dir,wind_gust_spd,wind_spd,market_name,query_lat,query_lon
1,2024-01-01,18.1,41,342,215,115,912,760,29.3,1704063600,6.2,168,2.8,1704063600,18.5,1704074400,0.0,0.0,1000,final,75,1014,0,0,215,950,7870,4941,4941,23.2,1704047400,168,6.0,1.7,Nizar_Pumkitalov,21.47,74.1
4,2024-01-02,18.6,41,342,215,115,913,761,28.1,1704186000,6.2,195,2.8,1704164400,18.9,1704160800,0.0,0.0,1000,final,80,1013,0,0,215,951,7877,4952,4951,22.6,1704133800,195,5.6,1.8,Nizar_Pumkitalov,21.47,74.1
35,2024-01-03,18.8,41,343,216,115,913,762,27.0,1704272400,6.2,194,1.6,1704240000,18.5,1704240000,0.0,0.0,999,final,82,1013,0,0,194,952,7884,4963,4471,22.3,1704220200,194,4.8,1.0,Nizar_Pumkitalov,21.47,74.1
10,2024-01-04,17.6,41,343,216,115,913,763,27.4,1704358800,5.1,77,2.8,1704358800,17.8,1704326400,0.0,0.0,1000,final,79,1013,0,0,216,953,7891,4976,4958,21.8,1704306600,77,7.2,1.6,Nizar_Pumkitalov,21.47,74.1
7,2024-01-05,17.0,41,343,217,115,914,765,26.7,1704445200,5.7,107,2.0,1704416400,17.8,1704420000,0.0,0.0,1000,final,78,1013,0,0,216,954,7899,4989,4967,21.4,1704393000,107,6.0,1.6,Nizar_Pumkitalov,21.47,74.1
18,2024-01-06,16.3,42,344,218,115,914,767,26.7,1704531600,6.1,70,3.6,1704531600,17.4,1704506400,0.0,0.0,1001,final,75,1014,0,0,217,956,7907,5003,5000,21.1,1704479400,70,8.8,2.4,Nizar_Pumkitalov,21.47,74.1
44,2024-01-07,16.9,42,344,218,115,915,768,25.9,1704618000,5.4,86,4.4,1704618000,18.5,1704585600,0.8,0.8,1001,final,75,1015,0,0,211,957,7916,5018,4849,21.7,1704565800,86,9.6,3.3,Nizar_Pumkitalov,21.47,74.1
13,2024-01-08,17.5,42,345,219,116,915,770,28.5,1704704400,6.4,86,4.4,1704654000,18.1,1704672000,0.0,0.0,1001,final,74,1015,0,0,219,958,7926,5034,5033,22.7,1704652200,86,10.4,3.2,Nizar_Pumkitalov,21.47,74.1
36,2024-01-09,17.0,42,345,220,116,916,772,27.4,1704790800,5.3,80,3.6,1704790800,19.6,1704758400,0.0,0.0,1001,final,69,1015,0,0,194,960,7936,5051,4468,23.1,1704738600,80,7.6,2.5,Nizar_Pumkitalov,21.47,74.1
13,2024-01-10,17.9,42,345,220,116,916,774,27.8,1704877200,6.1,75,2.8,1704859200,20.0,1704852000,0.0,0.0,1001,final,74,1015,0,0,220,961,7946,5069,5067,23.1,1704825000,75,7.2,2.0,Nizar_Pumkitalov,21.47,74.1
6,2024-01-11,18.8,42,346,221,116,917,776,28.5,1704963600,6.5,74,3.2,1704981600,20.0,1704938400,0.0,0.0,1002,final,76,1015,0,0,221,963,7957,5087,5085,23.4,1704911400,74,6.4,2.1,Nizar_Pumkitalov,21.47,74.1
