clouds,datetime,dewpt,dhi,dni,ghi,max_dhi,max_dni,max_ghi,max_temp,max_temp_ts,max_uv,max_wind_dir,max_wind_spd,max_wind_spd_ts,min_temp,min_temp_ts,precip,precip_gpm,pres,revision_status,rh,slp,snow,snow_depth,solar_rad,t_dhi,t_dni,t_ghi,t_solar_rad,temp,ts,wind_dir,wind_gust_spd,wind_spd,market_name,query_lat,query_lon
0,2024-01-01,15.8,41,339,216,116,910,760,28.5,1704063600,6.3,146,4.4,1704063600,19.3,1704067200,0.0,0.0,1009,final,64,1014,0,0,216,952,7788,4959,4959,23.2,1704047400,146,7.6,2.7,Rajula,21.0339169150099,71.4439137655692
0,2024-01-02,15.4,41,339,216,116,910,761,27.8,1704186000,6.3,165,4.4,1704189600,18.9,1704160800,0.0,0.0,1008,final,65,1013,0,0,216,952,7791,4970,4970,22.8,1704133800,165,7.2,2.7,Rajula,21.0339169150099,71.4439137655692
0,2024-01-03,14.1,41,339,217,116,911,762,27.0,1704272400,6.3,19,4.4,1704272400,17.8,1704247200,0.0,0.0,1008,final,62,1013,0,0,217,953,7795,4981,4981,22.1,1704220200,19,7.6,3.9,Rajula,21.0339169150099,71.4439137655692
1,2024-01-04,14.0,41,339,217,116,911,763,27.0,1704358800,6.3,93,5.2,1704358800,17.8,1704326400,0.0,0.0,1008,final,62,1013,0,0,217,954,7800,4993,4993,21.9,1704306600,93,8.4,4.2,Rajula,21.0339169150099,71.4439137655692
0,2024-01-05,12.6,42,339,218,116,911,765,27.0,1704445200,6.3,35,5.2,1704423600,17.0,1704420000,0.0,0.0,1009,final,57,1014,0,0,218,955,7806,5006,5006,21.8,1704393000,35,8.0,4.7,Rajula,21.0339169150099,71.4439137655692
17,2024-01-06,13.9,42,340,218,116,912,766,26.3,1704531600,6.3,24,6.0,1704524400,18.1,1704499200,0.0,0.0,1009,final,61,1014,0,0,218,956,7812,5020,5017,21.8,1704479400,24,10.0,5.3,Rajula,21.0339169150099,71.4439137655692
13,2024-01-07,15.5,42,340,219,116,912,768,27.0,1704618000,6.2,26,6.0,1704639600,18.9,1704582000,0.0,0.0,1009,final,65,1014,0,0,219,957,7818,5035,5035,22.5,1704565800,26,10.0,5.4,Rajula,21.0339169150099,71.4439137655692
22,2024-01-08,17.9,42,340,220,116,913,770,27.8,1704704400,5.8,22,6.0,1704715200,20.0,1704672000,0.0,0.0,1009,final,72,1014,0,0,218,958,7826,5051,5022,23.5,1704652200,22,9.2,5.2,Rajula,21.0339169150099,71.4439137655692
24,2024-01-09,16.3,42,341,220,116,913,771,27.4,1704790800,5.4,15,6.8,1704747600,20.0,1704765600,0.0,0.0,1009,final,64,1014,0,0,219,959,7834,5067,5033,23.6,1704738600,15,10.8,6.1,Rajula,21.0339169150099,71.4439137655692
27,2024-01-10,15.9,42,341,221,117,914,773,27.4,1704877200,4.9,20,6.4,1704888000,20.0,1704852000,0.0,0.0,1009,final,62,1015,0,0,210,961,7842,5084,4833,23.6,1704825000,20,10.0,5.1,Rajula,21.0339169150099,71.4439137655692
0,2024-01-11,17.7,42,341,222,117,914,775,28.5,1704963600,6.5,26,5.6,1704974400,20.4,1704938400,0.0,0.0,1010,final,68,1015,0,0,222,962,7851,5102,5102,24.1,1704911400,26,8.8,4.5,Rajula,21.0339169150099,71.4439137655692
