clouds (%),Date ,dewpt (°C),dhi (W/m²),dni (W/m²),ghi (W/m²),max_dhi (W/m²),max_dni (W/m²),max_ghi (W/m²),max_temp (°C),max_uv (Index),max_wind_dir (°),max_wind_spd (m/s),min_temp (°C),precip (mm),precip_gpm (mm/hr),pres (hPa),rh (%),slp (hPa),solar_rad (W/m²),temp (°C),wind_dir (°),wind_gust_spd (m/s),wind_spd (m/s),market_name (Text),query_lat (°),query_lon (°)
0.0,2024-01-01,11.9,41,336,213,115,909,752,29.3,6.1,290,2.8,16.7,0.0,0.0,998,0.54,1014,213,22.3,290,7.2,2.5,Savarkundla,21.332621199094,71.3138304600404
0.0,2024-01-02,12.6,41,336,213,115,909,753,28.5,6.2,261,3.2,16.3,0.0,0.0,998,0.6,1014,213,21.7,261,7.2,2.7,Savarkundla,21.332621199094,71.3138304600404
0.0,2024-01-03,10.8,41,336,214,115,909,754,27.4,6.2,103,4.0,15.2,0.0,0.0,997,0.56,1014,214,20.9,103,8.4,2.9,Savarkundla,21.332621199094,71.3138304600404
0.0,2024-01-04,10.3,41,337,214,115,910,755,27.4,6.2,87,4.8,14.8,0.0,0.0,998,0.54,1014,214,20.7,87,9.6,3.4,Savarkundla,21.332621199094,71.3138304600404
0.0,2024-01-05,9.4,41,337,215,115,910,757,27.8,6.2,94,4.8,14.1,0.0,0.0,998,0.51,1014,215,20.4,94,9.2,3.5,Savarkundla,21.332621199094,71.3138304600404
0.14,2024-01-06,10.0,41,337,216,115,911,758,27.0,6.2,25,5.2,15.2,0.0,0.0,999,0.53,1015,216,20.4,25,10.4,3.9,Savarkundla,21.332621199094,71.3138304600404
0.07,2024-01-07,13.3,41,337,216,115,911,760,28.1,6.3,26,4.8,16.3,0.0,0.0,998,0.61,1015,216,21.4,26,9.2,3.9,Savarkundla,21.332621199094,71.3138304600404
0.21,2024-01-08,16.2,41,338,217,115,912,762,28.5,5.0,17,4.8,17.4,0.0,0.0,998,0.7,1015,207,22.3,17,8.8,4.0,Savarkundla,21.332621199094,71.3138304600404
0.26,2024-01-09,13.8,41,338,218,116,912,763,27.4,5.7,12,6.0,17.8,0.0,0.0,999,0.59,1015,216,22.4,12,11.6,5.0,Savarkundla,21.332621199094,71.3138304600404
0.29,2024-01-10,13.9,41,339,218,116,913,765,28.1,5.6,16,4.8,18.1,0.0,0.0,999,0.58,1015,212,22.6,16,8.8,3.9,Savarkundla,21.332621199094,71.3138304600404
0.0,2024-01-11,15.7,41,339,219,116,913,767,29.6,6.4,19,4.0,18.1,0.0,0.0,999,0.63,1015,219,23.4,19,8.8,3.4,Savarkundla,21.332621199094,71.3138304600404
0.03,2024-01-12,15.7,41,339,220,116,914,769,31.1,6.4,115,3.6,18.5,0.0,0.0,999,0.61,1015,220,24.1,115,8.0,2.7,Savarkundla,21.332621199094,71.3138304600404
0.0,2024-01-13,12.4,41,340,221,116,914,772,31.1,6.4,293,3.6,18.5,0.0,0.0,999,0.5,1015,221,24.0,293,8.0,2.6,Savarkundla,21.332621199094,71.3138304600404
0.0,2024-01-14,9.1,41,340,222,116,915,774,29.6,6.4,311,3.2,16.7,0.0,0.0,1000,0.43,1016,222,22.7,311,7.6,2.5,Savarkundla,21.332621199094,71.3138304600404
0.0,2024-01-15,9.2,42,341,223,116,916,776,28.5,6.5,316,3.2,15.9,0.0,0.0,999,0.47,1015,223,21.7,316,7.6,2.4,Savarkundla,21.332621199094,71.3138304600404
0.28,2024-01-16,9.1,42,341,224,116,916,779,28.1,4.9,298,2.4,14.4,0.0,0.0,997,0.49,1013,202,21.2,298,6.0,1.8,Savarkundla,21.332621199094,71.3138304600404
0.36,2024-01-17,13.3,42,342,225,117,917,781,27.8,5.3,199,3.2,15.6,0.0,0.0,996,0.64,1012,183,21.0,199,7.2,2.3,Savarkundla,21.332621199094,71.3138304600404
0.04,2024-01-18,12.9,42,343,226,117,917,784,27.8,6.6,153,3.2,16.7,0.0,0.0,998,0.61,1014,226,21.7,153,7.6,2.2,Savarkundla,21.332621199094,71.3138304600404
0.0,2024-01-19,10.5,42,343,227,117,918,786,28.1,6.6,81,4.4,15.6,0.0,0.0,998,0.53,1014,227,21.0,81,9.6,3.2,Savarkundla,21.332621199094,71.3138304600404
0.35,2024-01-20,7.9,42,344,228,117,919,789,27.8,6.7,159,4.8,15.9,0.0,0.0,999,0.45,1016,203,21.2,159,9.6,3.5,Savarkundla,21.332621199094,71.3138304600404
0.71,2024-01-21,6.5,42,344,229,117,920,792,28.1,2.3,28,4.4,15.2,0.0,0.0,1000,0.39,1016,85,21.2,28,9.6,3.4,Savarkundla,21.332621199094,71.3138304600404
0.42,2024-01-22,6.9,42,345,230,117,920,795,28.5,6.5,61,4.0,15.2,0.0,0.0,1000,0.42,1016,213,21.4,61,8.8,3.0,Savarkundla,21.332621199094,71.3138304600404
0.06,2024-01-23,7.6,42,346,231,117,921,798,27.8,6.8,173,4.4,14.4,0.0,0.0,1000,0.44,1017,231,20.8,173,9.6,2.8,Savarkundla,21.332621199094,71.3138304600404
0.12,2024-01-24,8.3,42,346,232,118,922,801,28.5,6.8,156,4.4,14.8,0.0,0.0,1000,0.47,1016,232,21.0,156,9.2,2.8,Savarkundla,21.332621199094,71.3138304600404
0.08,2024-01-25,8.5,42,347,234,118,922,804,28.9,6.8,84,4.0,14.4,0.0,0.0,1001,0.47,1017,224,21.1,84,8.8,2.7,Savarkundla,21.332621199094,71.3138304600404
0.5,2024-01-26,8.3,43,348,235,118,923,807,29.3,6.9,32,3.6,15.2,0.0,0.0,1001,0.44,1018,206,22.0,32,8.0,2.9,Savarkundla,21.332621199094,71.3138304600404
0.71,2024-01-27,8.8,43,348,236,118,924,811,30.7,3.7,71,4.4,15.6,0.0,0.0,1001,0.43,1018,142,22.9,71,7.6,2.3,Savarkundla,21.332621199094,71.3138304600404
0.62,2024-01-28,9.1,43,349,237,118,925,814,31.5,3.9,214,2.8,15.2,0.0,0.0,1000,0.45,1017,162,22.8,214,5.2,2.0,Savarkundla,21.332621199094,71.3138304600404
0.69,2024-01-29,11.1,43,350,239,118,926,817,30.0,5.7,322,3.6,17.0,0.0,0.0,1001,0.48,1017,193,22.9,322,8.0,2.3,Savarkundla,21.332621199094,71.3138304600404
0.62,2024-01-30,13.4,43,351,240,119,926,821,29.3,5.4,268,2.8,17.0,0.0,0.0,1000,0.57,1016,209,22.9,268,7.6,1.9,Savarkundla,21.332621199094,71.3138304600404
0.83,2024-01-31,14.7,43,352,241,119,927,824,30.0,3.4,255,3.6,18.1,0.0,0.0,999,0.61,1015,138,23.5,255,6.8,2.6,Savarkundla,21.332621199094,71.3138304600404
0.23,2024-02-01,16.4,44,353,243,119,928,828,30.0,5.8,259,3.2,18.5,0.0,0.0,999,0.67,1015,221,23.7,259,7.2,2.2,Savarkundla,21.332621199094,71.3138304600404
0.28,2024-02-02,12.6,44,354,244,119,929,831,30.4,4.1,197,2.8,18.5,0.0,0.0,1000,0.53,1016,201,23.6,197,6.8,2.1,Savarkundla,21.332621199094,71.3138304600404
0.0,2024-02-03,13.8,44,355,246,119,929,835,32.2,7.3,162,3.2,17.4,0.0,0.0,1000,0.55,1016,246,24.7,162,7.6,1.6,Savarkundla,21.332621199094,71.3138304600404
0.0,2024-02-04,12.5,44,356,247,120,930,839,34.4,7.4,247,3.6,19.6,0.0,0.0,1000,0.44,1016,247,26.4,247,7.2,2.2,Savarkundla,21.332621199094,71.3138304600404
0.0,2024-02-05,16.9,44,357,249,120,931,842,32.2,7.5,290,3.6,20.0,0.0,0.0,1000,0.61,1016,249,25.8,290,7.2,2.3,Savarkundla,21.332621199094,71.3138304600404
0.08,2024-02-06,14.5,44,359,250,120,932,846,31.9,7.5,296,3.2,20.0,0.0,0.0,1001,0.53,1017,242,25.3,296,6.0,1.9,Savarkundla,21.332621199094,71.3138304600404
0.39,2024-02-07,13.1,45,360,252,120,932,850,30.7,7.2,332,4.0,19.6,0.0,0.0,1002,0.51,1018,251,24.5,332,8.8,3.3,Savarkundla,21.332621199094,71.3138304600404
0.54,2024-02-08,10.6,45,361,253,120,933,854,29.3,7.4,21,4.8,19.6,0.0,0.0,1002,0.45,1018,214,23.8,21,10.0,3.7,Savarkundla,21.332621199094,71.3138304600404
0.34,2024-02-09,6.7,45,363,255,120,934,857,30.0,7.7,244,3.6,17.0,0.0,0.0,1001,0.38,1017,253,23.1,244,8.4,3.1,Savarkundla,21.332621199094,71.3138304600404
0.0,2024-02-10,4.4,45,364,256,121,935,861,30.0,7.8,286,4.4,17.0,0.0,0.0,1001,0.31,1018,256,22.9,286,9.2,3.4,Savarkundla,21.332621199094,71.3138304600404
0.09,2024-02-11,6.3,45,365,258,121,935,865,30.7,7.8,271,3.6,17.0,0.0,0.0,1001,0.35,1017,257,23.3,271,8.4,2.8,Savarkundla,21.332621199094,71.3138304600404
0.97,2024-02-12,7.7,46,367,259,121,936,869,29.6,2.5,275,3.2,17.4,0.0,0.0,1000,0.38,1016,79,23.2,275,7.2,2.3,Savarkundla,21.332621199094,71.3138304600404
0.95,2024-02-13,6.1,46,368,261,121,937,873,29.6,2.5,249,3.6,18.1,0.0,0.0,1001,0.34,1017,72,23.6,249,8.0,2.8,Savarkundla,21.332621199094,71.3138304600404
0.12,2024-02-14,4.1,46,369,262,121,938,877,30.4,8.0,248,4.8,17.4,0.0,0.0,1001,0.29,1017,261,23.7,248,10.4,3.7,Savarkundla,21.332621199094,71.3138304600404
0.0,2024-02-15,8.6,46,371,264,122,938,881,31.5,8.1,164,3.6,17.0,0.0,0.0,999,0.39,1016,264,23.8,164,8.0,3.1,Savarkundla,21.332621199094,71.3138304600404
0.03,2024-02-16,13.9,46,372,266,122,939,885,33.3,8.2,41,4.8,20.7,0.0,0.0,999,0.47,1015,266,26.5,41,9.6,3.6,Savarkundla,21.332621199094,71.3138304600404
0.32,2024-02-17,13.4,46,373,267,122,940,888,35.2,8.1,108,3.2,21.5,0.0,0.0,998,0.45,1013,260,27.5,108,7.6,2.3,Savarkundla,21.332621199094,71.3138304600404
0.07,2024-02-18,10.9,47,375,269,122,940,892,34.8,8.3,290,4.0,18.5,0.0,0.0,996,0.41,1012,269,26.7,290,8.4,2.5,Savarkundla,21.332621199094,71.3138304600404
0.41,2024-02-19,8.7,47,376,270,122,941,896,34.4,7.6,272,5.6,20.7,0.0,0.0,996,0.32,1012,225,27.1,272,11.2,3.7,Savarkundla,21.332621199094,71.3138304600404
0.27,2024-02-20,14.8,47,377,272,122,942,900,33.0,8.4,277,4.8,18.5,0.0,0.0,997,0.56,1013,272,25.3,277,10.4,3.8,Savarkundla,21.332621199094,71.3138304600404
0.12,2024-02-21,14.6,47,378,274,123,942,904,32.2,8.5,291,4.4,19.6,0.0,0.0,996,0.58,1012,273,25.4,291,9.6,3.6,Savarkundla,21.332621199094,71.3138304600404
