clouds,datetime,dewpt,dhi,dni,ghi,max_dhi,max_dni,max_ghi,max_temp,max_temp_ts,max_uv,max_wind_dir,max_wind_spd,max_wind_spd_ts,min_temp,min_temp_ts,precip,precip_gpm,pres,revision_status,rh,slp,snow,snow_depth,solar_rad,t_dhi,t_dni,t_ghi,t_solar_rad,temp,ts,wind_dir,wind_gust_spd,wind_spd,market_name,query_lat,query_lon
0,2024-01-01,11.9,41,336,213,115,909,752,29.3,1704063600,6.1,290,2.8,1704063600,16.7,1704074400,0.0,0.0,998,final,54,1014,0,0,213,939,7728,4897,4897,22.3,1704047400,290,7.2,2.5,Savarkundla,21.332621199094,71.3138304600404
0,2024-01-02,12.6,41,336,213,115,909,753,28.5,1704186000,6.2,261,3.2,1704186000,16.3,1704160800,0.0,0.0,998,final,60,1014,0,0,213,940,7732,4908,4908,21.7,1704133800,261,7.2,2.7,Savarkundla,21.332621199094,71.3138304600404
0,2024-01-03,10.8,41,336,214,115,909,754,27.4,1704272400,6.2,103,4.0,1704272400,15.2,1704240000,0.0,0.0,997,final,56,1014,0,0,214,940,7736,4919,4919,20.9,1704220200,103,8.4,2.9,Savarkundla,21.332621199094,71.3138304600404
0,2024-01-04,10.3,41,337,214,115,910,755,27.4,1704358800,6.2,87,4.8,1704358800,14.8,1704333600,0.0,0.0,998,final,54,1014,0,0,214,941,7742,4932,4932,20.7,1704306600,87,9.6,3.4,Savarkundla,21.332621199094,71.3138304600404
0,2024-01-05,9.4,41,337,215,115,910,757,27.8,1704445200,6.2,94,4.8,1704445200,14.1,1704420000,0.0,0.0,998,final,51,1014,0,0,215,942,7748,4945,4945,20.4,1704393000,94,9.2,3.5,Savarkundla,21.332621199094,71.3138304600404
14,2024-01-06,10.0,41,337,216,115,911,758,27.0,1704531600,6.2,25,5.2,1704531600,15.2,1704499200,0.0,0.0,999,final,53,1015,0,0,216,943,7755,4959,4959,20.4,1704479400,25,10.4,3.9,Savarkundla,21.332621199094,71.3138304600404
7,2024-01-07,13.3,41,337,216,115,911,760,28.1,1704618000,6.3,26,4.8,1704618000,16.3,1704574800,0.0,0.0,998,final,61,1015,0,0,216,944,7762,4974,4969,21.4,1704565800,26,9.2,3.9,Savarkundla,21.332621199094,71.3138304600404
21,2024-01-08,16.2,41,338,217,115,912,762,28.5,1704704400,5.0,17,4.8,1704722400,17.4,1704672000,0.0,0.0,998,final,70,1015,0,0,207,945,7770,4990,4771,22.3,1704652200,17,8.8,4.0,Savarkundla,21.332621199094,71.3138304600404
26,2024-01-09,13.8,41,338,218,116,912,763,27.4,1704790800,5.7,12,6.0,1704790800,17.8,1704765600,0.0,0.0,999,final,59,1015,0,0,216,946,7779,5006,4977,22.4,1704738600,12,11.6,5.0,Savarkundla,21.332621199094,71.3138304600404
29,2024-01-10,13.9,41,339,218,116,913,765,28.1,1704877200,5.6,16,4.8,1704877200,18.1,1704852000,0.0,0.0,999,final,58,1015,0,0,212,947,7788,5024,4875,22.6,1704825000,16,8.8,3.9,Savarkundla,21.332621199094,71.3138304600404
