clouds (%),Date ,dewpt (°C),dhi (W/m²),dni (W/m²),ghi (W/m²),max_dhi (W/m²),max_dni (W/m²),max_ghi (W/m²),max_temp (°C),max_uv (Index),max_wind_dir (°),max_wind_spd (m/s),min_temp (°C),precip (mm),precip_gpm (mm/hr),pres (hPa),rh (%),slp (hPa),solar_rad (W/m²),temp (°C),wind_dir (°),wind_gust_spd (m/s),wind_spd (m/s),market_name (Text),query_lat (°),query_lon (°)
0.0,2024-01-01,18.7,41,342,215,115,912,760,29.6,6.2,190,2.8,19.3,0.0,0.0,998,0.74,1013,215,23.9,190,4.8,1.7,Songadh_Badarpada,21.16,73.56
0.02,2024-01-02,18.7,41,342,215,115,913,761,28.1,6.3,221,2.8,18.5,0.0,0.0,997,0.78,1013,215,22.8,221,5.6,1.8,Songadh_Badarpada,21.16,73.56
0.12,2024-01-03,18.5,41,343,216,115,913,762,27.4,6.1,231,2.8,17.4,0.0,0.0,997,0.82,1013,206,22.0,231,5.6,2.0,Songadh_Badarpada,21.16,73.56
0.03,2024-01-04,17.4,41,343,216,115,913,763,27.8,5.7,152,2.8,17.0,0.0,0.0,997,0.77,1013,216,22.0,152,5.6,1.9,Songadh_Badarpada,21.16,73.56
0.03,2024-01-05,17.0,41,343,217,115,914,765,27.0,5.9,125,3.2,17.8,0.0,0.0,997,0.75,1013,217,22.0,125,6.0,2.4,Songadh_Badarpada,21.16,73.56
0.23,2024-01-06,16.9,42,344,218,115,914,767,27.0,6.1,52,4.4,17.8,0.0,0.0,998,0.74,1014,216,21.9,52,8.8,2.9,Songadh_Badarpada,21.16,73.56
0.4,2024-01-07,18.0,42,344,218,115,915,768,27.4,5.7,72,5.2,20.0,0.0,0.0,998,0.74,1014,217,23.0,72,10.4,3.9,Songadh_Badarpada,21.16,73.56
0.16,2024-01-08,18.5,42,345,219,116,915,770,30.0,6.4,64,4.8,20.0,0.0,0.0,998,0.73,1014,219,23.9,64,9.6,3.4,Songadh_Badarpada,21.16,73.56
0.36,2024-01-09,18.2,42,345,220,116,916,772,28.5,5.1,51,3.2,20.4,0.0,0.0,998,0.71,1014,182,23.9,51,6.0,2.5,Songadh_Badarpada,21.16,73.56
0.12,2024-01-10,19.4,42,345,220,116,916,774,28.5,6.2,45,2.4,20.7,0.0,0.0,998,0.77,1014,220,24.0,45,6.0,2.2,Songadh_Badarpada,21.16,73.56
