clouds,datetime,dewpt,dhi,dni,ghi,max_dhi,max_dni,max_ghi,max_temp,max_temp_ts,max_uv,max_wind_dir,max_wind_spd,max_wind_spd_ts,min_temp,min_temp_ts,precip,precip_gpm,pres,revision_status,rh,slp,snow,snow_depth,solar_rad,t_dhi,t_dni,t_ghi,t_solar_rad,temp,ts,wind_dir,wind_gust_spd,wind_spd,market_name,query_lat,query_lon
0,2024-01-01,18.7,41,342,215,115,912,760,29.6,1704063600,6.2,190,2.8,1704063600,19.3,1704067200,0.0,0.0,1000,final,74,1013,0,0,215,950,7870,4941,4941,23.9,1704047400,190,4.8,1.7,Songadh,21.1758685770829,73.5640330081922
2,2024-01-02,18.7,41,342,215,115,913,761,28.1,1704186000,6.3,221,2.8,1704189600,18.5,1704160800,0.8,0.8,1000,final,78,1013,0,0,215,951,7877,4952,4952,22.8,1704133800,221,5.6,1.8,Songadh,21.1758685770829,73.5640330081922
12,2024-01-03,18.5,41,343,216,115,913,762,27.4,1704272400,6.1,231,2.8,1704272400,17.4,1704247200,0.0,0.0,999,final,82,1013,0,0,206,952,7884,4963,4727,22.0,1704220200,231,5.6,2.0,Songadh,21.1758685770829,73.5640330081922
3,2024-01-04,17.4,41,343,216,115,913,763,27.8,1704358800,5.7,152,2.8,1704358800,17.0,1704326400,0.0,0.0,999,final,77,1013,0,0,216,953,7891,4976,4973,22.0,1704306600,152,5.6,1.9,Songadh,21.1758685770829,73.5640330081922
3,2024-01-05,17.0,41,343,217,115,914,765,27.0,1704445200,5.9,125,3.2,1704423600,17.8,1704420000,0.0,0.0,1000,final,75,1013,0,0,217,954,7899,4989,4987,22.0,1704393000,125,6.0,2.4,Songadh,21.1758685770829,73.5640330081922
23,2024-01-06,16.9,42,344,218,115,914,767,27.0,1704531600,6.1,52,4.4,1704524400,17.8,1704499200,0.0,0.0,1001,final,74,1014,0,0,216,956,7907,5003,4964,21.9,1704479400,52,8.8,2.9,Songadh,21.1758685770829,73.5640330081922
40,2024-01-07,18.0,42,344,218,115,915,768,27.4,1704618000,5.7,72,5.2,1704639600,20.0,1704582000,0.0,0.0,1001,final,74,1014,0,0,217,957,7916,5018,4980,23.0,1704565800,72,10.4,3.9,Songadh,21.1758685770829,73.5640330081922
16,2024-01-08,18.5,42,345,219,116,915,770,30.0,1704704400,6.4,64,4.8,1704715200,20.0,1704672000,0.0,0.0,1001,final,73,1014,0,0,219,958,7926,5034,5033,23.9,1704652200,64,9.6,3.4,Songadh,21.1758685770829,73.5640330081922
36,2024-01-09,18.2,42,345,220,116,916,772,28.5,1704790800,5.1,51,3.2,1704747600,20.4,1704765600,0.3,0.3,1001,final,71,1014,0,0,182,960,7936,5051,4186,23.9,1704738600,51,6.0,2.5,Songadh,21.1758685770829,73.5640330081922
12,2024-01-10,19.4,42,345,220,116,916,774,28.5,1704877200,6.2,45,2.4,1704888000,20.7,1704852000,0.0,0.0,1001,final,77,1014,0,0,220,961,7946,5069,5055,24.0,1704825000,45,6.0,2.2,Songadh,21.1758685770829,73.5640330081922
5,2024-01-11,20.1,42,346,221,116,917,776,29.3,1704963600,6.5,45,2.8,1704974400,20.4,1704938400,0.0,0.0,1001,final,79,1015,0,0,221,963,7957,5087,5075,24.2,1704911400,45,6.0,2.3,Songadh,21.1758685770829,73.5640330081922
5,2024-01-12,20.1,42,346,222,116,918,778,31.9,1705050000,6.5,50,4.0,1705060800,21.1,1705024800,0.0,0.0,1001,final,74,1014,0,0,222,965,7969,5106,5105,25.3,1704997800,50,8.0,2.5,Songadh,21.1758685770829,73.5640330081922
0,2024-01-13,19.3,42,347,223,116,918,781,32.2,1705136400,6.5,208,3.2,1705136400,19.6,1705111200,0.0,0.0,1001,final,72,1014,0,0,223,966,7981,5126,5126,25.2,1705084200,208,6.4,2.0,Songadh,21.1758685770829,73.5640330081922
0,2024-01-14,14.8,42,348,224,116,919,783,29.3,1705222800,6.6,240,2.8,1705222800,18.1,1705197600,0.0,0.0,1002,final,63,1015,0,0,224,968,7993,5147,5147,23.1,1705170600,240,6.0,2.0,Songadh,21.1758685770829,73.5640330081922
0,2024-01-15,12.9,42,348,225,116,919,785,28.1,1705309200,6.6,150,2.4,1705320000,17.4,1705284000,0.0,0.0,1001,final,59,1015,0,0,225,970,8006,5169,5169,21.9,1705257000,150,4.0,1.4,Songadh,21.1758685770829,73.5640330081922
20,2024-01-16,14.2,42,349,226,117,920,788,28.5,1705395600,6.5,215,2.4,1705388400,17.4,1705363200,0.0,0.0,999,final,62,1012,0,0,222,972,8020,5191,5111,22.3,1705343400,215,4.4,1.2,Songadh,21.1758685770829,73.5640330081922
49,2024-01-17,13.7,42,349,227,117,921,791,27.4,1705482000,3.8,190,2.4,1705489200,17.8,1705456800,0.0,0.0,999,final,60,1012,0,0,169,974,8033,5214,3879,22.2,1705429800,190,5.6,1.2,Songadh,21.1758685770829,73.5640330081922
5,2024-01-18,14.4,42,350,228,117,921,793,27.4,1705568400,6.7,134,2.4,1705568400,17.4,1705536000,0.3,0.3,1000,final,65,1013,0,0,227,976,8048,5238,5221,21.7,1705516200,134,4.4,1.6,Songadh,21.1758685770829,73.5640330081922
3,2024-01-19,15.0,43,351,229,117,922,796,28.5,1705654800,6.8,82,4.0,1705665600,15.6,1705622400,0.0,0.0,1000,final,68,1013,0,0,228,978,8063,5262,5241,21.6,1705602600,82,8.8,2.7,Songadh,21.1758685770829,73.5640330081922
31,2024-01-20,14.1,43,351,230,117,923,799,28.1,1705741200,6.7,160,3.6,1705752000,16.7,1705716000,0.0,0.0,1001,final,62,1014,0,0,222,980,8078,5287,5111,22.0,1705689000,160,6.4,2.4,Songadh,21.1758685770829,73.5640330081922
61,2024-01-21,11.7,43,352,231,117,924,802,27.4,1705827600,2.4,48,4.0,1705845600,17.0,1705795200,0.0,0.0,1002,final,55,1015,0,0,75,983,8093,5313,1735,21.6,1705775400,48,8.8,2.9,Songadh,21.1758685770829,73.5640330081922
49,2024-01-22,11.6,43,353,232,117,924,805,27.8,1705914000,5.2,156,3.6,1705914000,15.9,1705881600,0.0,0.0,1002,final,55,1015,0,0,217,985,8109,5340,4987,21.4,1705861800,156,8.8,2.8,Songadh,21.1758685770829,73.5640330081922
0,2024-01-23,9.2,43,353,233,118,925,808,27.4,1706000400,6.9,83,3.6,1706000400,14.8,1705978800,0.0,0.0,1002,final,50,1016,0,0,233,987,8126,5367,5367,20.5,1705948200,83,8.0,2.5,Songadh,21.1758685770829,73.5640330081922
4,2024-01-24,10.3,43,354,235,118,926,811,27.0,1706086800,7.0,51,3.6,1706086800,14.8,1706036400,0.0,0.0,1003,final,55,1016,0,0,235,990,8143,5394,5394,20.5,1706034600,51,8.0,2.5,Songadh,21.1758685770829,73.5640330081922
