clouds (%),Date ,dewpt (°C),dhi (W/m²),dni (W/m²),ghi (W/m²),max_dhi (W/m²),max_dni (W/m²),max_ghi (W/m²),max_temp (°C),max_uv (Index),max_wind_dir (°),max_wind_spd (m/s),min_temp (°C),precip (mm),precip_gpm (mm/hr),pres (hPa),rh (%),slp (hPa),solar_rad (W/m²),temp (°C),wind_dir (°),wind_gust_spd (m/s),wind_spd (m/s),market_name (Text),query_lat (°),query_lon (°)
0.0,2024-01-01,17.1,41,340,215,116,910,759,29.6,6.3,216,4.0,19.8,0.0,0.0,1012,0.66,1013,215,24.0,216,7.2,1.5,Surat,21.1934170129143,72.8529827687544
0.0,2024-01-02,18.1,41,340,216,116,910,760,28.6,6.3,211,2.1,18.0,0.0,0.0,1011,0.77,1013,216,22.6,211,5.7,1.4,Surat,21.1934170129143,72.8529827687544
0.0,2024-01-03,17.7,42,340,216,116,911,762,25.6,6.3,69,2.1,17.0,0.0,0.0,1011,0.82,1012,216,21.1,69,8.0,1.4,Surat,21.1934170129143,72.8529827687544
0.0,2024-01-04,17.1,42,340,217,116,911,763,27.4,6.3,230,2.1,17.0,0.0,0.0,1011,0.78,1013,217,21.4,230,11.3,1.6,Surat,21.1934170129143,72.8529827687544
0.0,2024-01-05,16.0,42,341,217,116,911,764,28.0,6.3,48,2.0,17.0,0.0,0.0,1011,0.71,1013,217,21.8,48,12.4,1.3,Surat,21.1934170129143,72.8529827687544
0.14,2024-01-06,16.1,42,341,218,116,912,766,27.6,6.3,51,1.5,17.4,0.0,0.0,1012,0.71,1014,218,22.0,51,12.4,1.2,Surat,21.1934170129143,72.8529827687544
0.46,2024-01-07,17.8,42,341,218,116,912,768,29.2,5.1,90,1.4,19.0,0.0,0.0,1012,0.73,1013,213,23.2,90,9.7,1.1,Surat,21.1934170129143,72.8529827687544
0.23,2024-01-08,19.0,42,342,219,116,913,769,30.8,6.4,102,1.4,20.0,0.3,0.3,1012,0.73,1013,219,24.4,102,9.7,1.0,Surat,21.1934170129143,72.8529827687544
0.29,2024-01-09,18.4,42,342,220,116,913,771,29.4,5.7,93,2.0,20.6,0.0,0.0,1012,0.71,1014,215,24.4,93,10.7,1.4,Surat,21.1934170129143,72.8529827687544
0.13,2024-01-10,19.3,42,342,221,117,914,773,30.0,5.7,132,2.0,21.0,0.0,0.0,1012,0.74,1014,220,24.5,132,9.7,1.1,Surat,21.1934170129143,72.8529827687544
0.02,2024-01-11,19.1,42,343,221,117,915,775,31.4,6.5,77,4.4,19.6,0.0,0.0,1013,0.75,1014,221,24.2,77,10.7,1.4,Surat,21.1934170129143,72.8529827687544
0.02,2024-01-12,19.1,42,343,222,117,915,777,32.6,6.5,92,2.0,21.0,0.0,0.0,1012,0.69,1014,222,25.7,92,10.5,1.3,Surat,21.1934170129143,72.8529827687544
