clouds,datetime,dewpt,dhi,dni,ghi,max_dhi,max_dni,max_ghi,max_temp,max_temp_ts,max_uv,max_wind_dir,max_wind_spd,max_wind_spd_ts,min_temp,min_temp_ts,precip,precip_gpm,pres,revision_status,rh,slp,snow,snow_depth,solar_rad,t_dhi,t_dni,t_ghi,t_solar_rad,temp,ts,wind_dir,wind_gust_spd,wind_spd,market_name,query_lat,query_lon
0,2024-01-01,17.1,41,340,215,116,910,759,29.6,1704063600,6.3,216,4.0,1704063600,19.8,1704067200,0.0,0.0,1012,final,66,1013,0,0,215,954,7816,4946,4946,24.0,1704047400,216,7.2,1.5,Surat,21.1934170129143,72.8529827687544
0,2024-01-02,18.1,41,340,216,116,910,760,28.6,1704186000,6.3,211,2.1,1704189600,18.0,1704160800,0.0,0.0,1011,final,77,1013,0,0,216,954,7820,4957,4957,22.6,1704133800,211,5.7,1.4,Surat,21.1934170129143,72.8529827687544
0,2024-01-03,17.7,42,340,216,116,911,762,25.6,1704272400,6.3,69,2.1,1704272400,17.0,1704247200,0.0,0.0,1011,final,82,1012,0,0,216,955,7825,4968,4968,21.1,1704220200,69,8.0,1.4,Surat,21.1934170129143,72.8529827687544
0,2024-01-04,17.1,42,340,217,116,911,763,27.4,1704358800,6.3,230,2.1,1704358800,17.0,1704326400,0.0,0.0,1011,final,78,1013,0,0,217,956,7831,4980,4980,21.4,1704306600,230,11.3,1.6,Surat,21.1934170129143,72.8529827687544
0,2024-01-05,16.0,42,341,217,116,911,764,28.0,1704445200,6.3,48,2.0,1704423600,17.0,1704420000,0.0,0.0,1011,final,71,1013,0,0,217,957,7837,4993,4993,21.8,1704393000,48,12.4,1.3,Surat,21.1934170129143,72.8529827687544
14,2024-01-06,16.1,42,341,218,116,912,766,27.6,1704531600,6.3,51,1.5,1704524400,17.4,1704499200,0.0,0.0,1012,final,71,1014,0,0,218,958,7844,5007,5005,22.0,1704479400,51,12.4,1.2,Surat,21.1934170129143,72.8529827687544
46,2024-01-07,17.8,42,341,218,116,912,768,29.2,1704618000,5.1,90,1.4,1704639600,19.0,1704582000,0.0,0.0,1012,final,73,1013,0,0,213,960,7852,5022,4893,23.2,1704565800,90,9.7,1.1,Surat,21.1934170129143,72.8529827687544
23,2024-01-08,19.0,42,342,219,116,913,769,30.8,1704704400,6.4,102,1.4,1704715200,20.0,1704672000,0.3,0.3,1012,final,73,1013,0,0,219,961,7860,5038,5038,24.4,1704652200,102,9.7,1.0,Surat,21.1934170129143,72.8529827687544
29,2024-01-09,18.4,42,342,220,116,913,771,29.4,1704790800,5.7,93,2.0,1704747600,20.6,1704765600,0.0,0.0,1012,final,71,1014,0,0,215,962,7868,5055,4951,24.4,1704738600,93,10.7,1.4,Surat,21.1934170129143,72.8529827687544
13,2024-01-10,19.3,42,342,221,117,914,773,30.0,1704877200,5.7,132,2.0,1704888000,21.0,1704852000,0.0,0.0,1012,final,74,1014,0,0,220,964,7877,5072,5067,24.5,1704825000,132,9.7,1.1,Surat,21.1934170129143,72.8529827687544
