clouds,datetime,dewpt,dhi,dni,ghi,max_dhi,max_dni,max_ghi,max_temp,max_temp_ts,max_uv,max_wind_dir,max_wind_spd,max_wind_spd_ts,min_temp,min_temp_ts,precip,precip_gpm,pres,revision_status,rh,slp,snow,snow_depth,solar_rad,t_dhi,t_dni,t_ghi,t_solar_rad,temp,ts,wind_dir,wind_gust_spd,wind_spd,market_name,query_lat,query_lon
0,2024-01-01,19.7,41,342,215,115,912,760,29.3,1704063600,6.2,194,2.8,1704063600,20.0,1704067200,0.0,0.0,1000,final,78,1014,0,0,215,950,7870,4941,4941,24.0,1704047400,194,5.2,1.6,Uchhal,21.17,73.74
14,2024-01-02,20.1,41,342,215,115,913,761,27.8,1704186000,6.3,217,2.8,1704189600,20.0,1704160800,0.8,0.8,999,final,82,1013,0,0,215,951,7877,4952,4939,23.5,1704133800,217,6.0,1.5,Uchhal,21.17,73.74
30,2024-01-03,19.9,41,343,216,115,913,762,26.7,1704272400,5.9,219,2.8,1704272400,18.5,1704247200,0.0,0.0,999,final,84,1013,0,0,191,952,7884,4963,4390,22.9,1704220200,219,5.2,1.5,Uchhal,21.17,73.74
15,2024-01-04,18.9,41,343,216,115,913,763,27.0,1704358800,5.2,90,2.4,1704358800,18.1,1704326400,0.0,0.0,999,final,80,1013,0,0,214,953,7891,4976,4932,22.9,1704306600,90,6.4,1.7,Uchhal,21.17,73.74
9,2024-01-05,18.2,41,343,217,115,914,765,26.7,1704445200,5.6,143,2.8,1704423600,17.4,1704420000,0.0,0.0,999,final,81,1013,0,0,215,954,7899,4989,4950,21.9,1704393000,143,6.0,2.2,Uchhal,21.17,73.74
24,2024-01-06,17.6,42,344,218,115,914,767,26.7,1704531600,5.7,73,4.4,1704524400,17.8,1704499200,0.0,0.0,1000,final,79,1014,0,0,216,956,7907,5003,4973,21.6,1704479400,73,8.4,2.9,Uchhal,21.17,73.74
41,2024-01-07,18.1,42,344,218,115,915,768,26.7,1704618000,5.4,81,4.8,1704639600,19.3,1704582000,1.0,1.0,1000,final,78,1014,0,0,215,957,7916,5018,4941,22.4,1704565800,81,10.0,3.7,Uchhal,21.17,73.74
18,2024-01-08,18.6,42,345,219,116,915,770,29.6,1704704400,6.4,79,4.8,1704715200,19.3,1704672000,0.0,0.0,1000,final,76,1014,0,0,219,958,7926,5034,5026,23.4,1704652200,79,9.6,3.4,Uchhal,21.17,73.74
40,2024-01-09,18.2,42,345,220,116,916,772,28.1,1704790800,5.2,73,3.2,1704747600,19.3,1704765600,0.5,0.5,1000,final,74,1014,0,0,166,960,7936,5051,3823,23.3,1704738600,73,6.0,2.3,Uchhal,21.17,73.74
13,2024-01-10,19.4,42,345,220,116,916,774,28.1,1704877200,6.2,61,2.4,1704888000,19.6,1704852000,0.0,0.0,1000,final,80,1014,0,0,220,961,7946,5069,5049,23.2,1704825000,61,5.6,2.0,Uchhal,21.17,73.74
5,2024-01-11,20.1,42,346,221,116,917,776,28.9,1704963600,6.3,64,2.8,1704974400,20.0,1704938400,0.0,0.0,1001,final,82,1015,0,0,221,963,7957,5087,5085,23.6,1704911400,64,6.0,2.3,Uchhal,21.17,73.74
11,2024-01-12,20.0,42,346,222,116,918,778,31.5,1705050000,6.4,76,4.0,1705060800,20.4,1705024800,0.0,0.0,1000,final,76,1014,0,0,222,965,7969,5106,5100,24.7,1704997800,76,8.0,2.4,Uchhal,21.17,73.74
0,2024-01-13,19.6,42,347,223,116,918,781,31.9,1705136400,6.5,206,3.2,1705136400,19.6,1705111200,0.0,0.0,1000,final,73,1014,0,0,223,966,7981,5126,5126,25.4,1705084200,206,6.0,2.0,Uchhal,21.17,73.74
0,2024-01-14,17.0,42,348,224,116,919,783,28.5,1705222800,6.6,265,2.8,1705222800,20.0,1705197600,0.0,0.0,1002,final,66,1015,0,0,224,968,7993,5147,5147,24.5,1705170600,265,6.0,1.5,Uchhal,21.17,73.74
0,2024-01-15,14.8,42,348,225,116,919,785,28.5,1705309200,6.6,220,2.4,1705320000,18.5,1705284000,0.0,0.0,1001,final,61,1015,0,0,225,970,8006,5169,5169,23.3,1705257000,220,4.0,1.0,Uchhal,21.17,73.74
18,2024-01-16,15.7,42,349,226,117,920,788,28.1,1705395600,6.6,238,2.4,1705388400,17.8,1705363200,0.0,0.0,999,final,66,1012,0,0,224,972,8020,5191,5154,23.2,1705343400,238,4.4,1.3,Uchhal,21.17,73.74
51,2024-01-17,14.5,42,349,227,117,921,791,28.5,1705482000,3.8,220,2.4,1705489200,18.1,1705456800,0.8,0.8,998,final,61,1012,0,0,169,974,8033,5214,3896,22.9,1705429800,220,4.8,1.3,Uchhal,21.17,73.74
4,2024-01-18,16.0,42,350,228,117,921,793,27.0,1705568400,6.7,196,2.8,1705568400,17.8,1705536000,0.0,0.0,999,final,67,1013,0,0,228,976,8048,5238,5238,22.8,1705516200,196,4.4,1.1,Uchhal,21.17,73.74
2,2024-01-19,16.4,43,351,229,117,922,796,27.8,1705654800,6.8,108,4.0,1705665600,15.6,1705622400,0.0,0.0,999,final,72,1013,0,0,228,978,8063,5262,5255,22.2,1705602600,108,8.4,2.4,Uchhal,21.17,73.74
