clouds,datetime,dewpt,dhi,dni,ghi,max_dhi,max_dni,max_ghi,max_temp,max_temp_ts,max_uv,max_wind_dir,max_wind_spd,max_wind_spd_ts,min_temp,min_temp_ts,precip,precip_gpm,pres,revision_status,rh,slp,snow,snow_depth,solar_rad,t_dhi,t_dni,t_ghi,t_solar_rad,temp,ts,wind_dir,wind_gust_spd,wind_spd,market_name,query_lat,query_lon
0,2024-01-01,18.2,42,343,218,116,913,768,30.7,1704063600,6.4,154,3.2,1704063600,19.6,1704067200,0.0,0.0,1005,final,71,1013,0,0,218,962,7879,5022,5022,24.2,1704047400,154,6.0,1.9,Valod_Buhari,20.97,73.31
1,2024-01-02,18.1,42,343,219,116,913,769,28.9,1704186000,6.4,174,3.2,1704189600,18.5,1704160800,0.0,0.0,1005,final,76,1013,0,0,219,963,7884,5032,5032,22.8,1704133800,174,6.8,2.0,Valod_Buhari,20.97,73.31
17,2024-01-03,18.1,42,343,219,116,913,771,28.1,1704272400,6.4,142,2.8,1704272400,17.4,1704247200,0.0,0.0,1004,final,80,1013,0,0,213,964,7889,5043,4907,21.9,1704220200,142,6.0,2.3,Valod_Buhari,20.97,73.31
4,2024-01-04,16.9,42,343,220,116,914,772,28.5,1704358800,6.3,141,3.2,1704358800,16.7,1704326400,0.0,0.0,1005,final,76,1013,0,0,219,965,7894,5056,5042,21.9,1704306600,141,5.2,2.0,Valod_Buhari,20.97,73.31
2,2024-01-05,16.6,42,343,220,117,914,773,28.1,1704445200,6.4,106,3.6,1704423600,16.7,1704420000,0.0,0.0,1005,final,74,1013,0,0,220,966,7900,5069,5067,21.9,1704393000,106,6.8,2.7,Valod_Buhari,20.97,73.31
27,2024-01-06,16.2,42,344,221,117,915,775,28.9,1704531600,5.7,39,3.6,1704524400,17.0,1704499200,0.0,0.0,1005,final,70,1014,0,0,218,967,7907,5082,5022,22.3,1704479400,39,8.0,3.0,Valod_Buhari,20.97,73.31
36,2024-01-07,17.6,42,344,222,117,915,776,29.6,1704618000,5.9,56,4.4,1704639600,19.6,1704582000,0.0,0.0,1005,final,70,1013,0,0,221,968,7914,5097,5090,23.8,1704565800,56,7.6,3.1,Valod_Buhari,20.97,73.31
16,2024-01-08,17.9,42,344,222,117,916,778,31.9,1704704400,6.5,127,3.6,1704715200,20.4,1704672000,0.0,0.0,1005,final,66,1013,0,0,222,969,7922,5113,5111,25.1,1704652200,127,6.8,2.7,Valod_Buhari,20.97,73.31
35,2024-01-09,18.3,42,345,223,117,916,780,29.3,1704790800,4.9,31,2.8,1704747600,20.0,1704765600,0.3,0.3,1006,final,70,1014,0,0,184,970,7930,5129,4240,24.5,1704738600,31,4.8,2.1,Valod_Buhari,20.97,73.31
10,2024-01-10,19.4,42,345,224,117,917,782,30.0,1704877200,6.3,96,2.8,1704888000,20.0,1704852000,0.0,0.0,1006,final,74,1014,0,0,224,972,7939,5146,5144,24.5,1704825000,96,6.0,1.9,Valod_Buhari,20.97,73.31
3,2024-01-11,20.0,42,346,225,117,917,784,30.4,1704963600,6.6,32,3.2,1704974400,19.6,1704938400,0.0,0.0,1006,final,77,1014,0,0,224,973,7948,5164,5159,24.8,1704911400,32,5.6,2.1,Valod_Buhari,20.97,73.31
4,2024-01-12,19.5,42,346,225,117,918,786,33.3,1705050000,6.6,124,3.2,1705060800,20.7,1705024800,0.0,0.0,1006,final,69,1014,0,0,225,975,7958,5183,5182,26.2,1704997800,124,6.0,2.3,Valod_Buhari,20.97,73.31
0,2024-01-13,19.0,42,346,226,117,918,788,32.6,1705136400,6.6,203,3.2,1705136400,19.6,1705111200,0.0,0.0,1006,final,70,1014,0,0,226,976,7968,5203,5203,25.4,1705084200,203,6.8,1.9,Valod_Buhari,20.97,73.31
0,2024-01-14,14.6,43,347,227,118,919,791,30.0,1705222800,6.7,155,3.2,1705222800,18.5,1705197600,0.0,0.0,1007,final,61,1015,0,0,227,978,7979,5223,5223,23.5,1705170600,155,6.4,2.1,Valod_Buhari,20.97,73.31
0,2024-01-15,11.5,43,347,228,118,919,793,28.9,1705309200,6.7,179,2.4,1705320000,15.9,1705284000,0.0,0.0,1006,final,55,1015,0,0,228,980,7991,5244,5244,21.6,1705257000,179,4.8,1.7,Valod_Buhari,20.97,73.31
26,2024-01-16,12.2,43,348,229,118,920,795,28.9,1705395600,6.5,207,2.4,1705388400,13.7,1705363200,0.0,0.0,1004,final,60,1012,0,0,217,982,8003,5266,4996,21.0,1705343400,207,4.8,1.5,Valod_Buhari,20.97,73.31
44,2024-01-17,12.3,43,348,230,118,921,798,28.5,1705482000,3.1,182,2.8,1705489200,14.8,1705456800,0.0,0.0,1004,final,61,1012,0,0,166,984,8015,5288,3816,20.9,1705429800,182,6.4,1.7,Valod_Buhari,20.97,73.31
1,2024-01-18,13.6,43,349,231,118,921,801,28.1,1705568400,6.7,189,2.4,1705568400,14.8,1705536000,0.0,0.0,1005,final,64,1013,0,0,231,986,8028,5311,5311,21.2,1705516200,189,5.2,1.8,Valod_Buhari,20.97,73.31
