clouds (%),Date ,dewpt (°C),dhi (W/m²),dni (W/m²),ghi (W/m²),max_dhi (W/m²),max_dni (W/m²),max_ghi (W/m²),max_temp (°C),max_uv (Index),max_wind_dir (°),max_wind_spd (m/s),min_temp (°C),precip (mm),precip_gpm (mm/hr),pres (hPa),rh (%),slp (hPa),solar_rad (W/m²),temp (°C),wind_dir (°),wind_gust_spd (m/s),wind_spd (m/s),market_name (Text),query_lat (°),query_lon (°)
0.0,2024-01-01,18.2,41,340,215,116,910,759,30.7,6.3,154,3.2,19.6,0.0,0.0,1004,0.71,1013,215,24.2,154,6.0,1.9,Vyara_Paati,21.11,73.38
0.01,2024-01-02,18.1,41,340,216,116,910,760,28.9,6.3,174,3.2,18.5,0.0,0.0,1004,0.76,1013,216,22.8,174,6.8,2.0,Vyara_Paati,21.11,73.38
0.17,2024-01-03,18.1,42,340,216,116,911,762,28.1,6.3,142,2.8,17.4,0.0,0.0,1003,0.8,1013,210,21.9,142,6.0,2.3,Vyara_Paati,21.11,73.38
0.04,2024-01-04,16.9,42,340,217,116,911,763,28.5,6.2,141,3.2,16.7,0.0,0.0,1003,0.76,1013,216,21.9,141,5.2,2.0,Vyara_Paati,21.11,73.38
0.02,2024-01-05,16.6,42,341,217,116,911,764,28.1,6.2,106,3.6,16.7,0.0,0.0,1004,0.74,1013,217,21.9,106,6.8,2.7,Vyara_Paati,21.11,73.38
0.27,2024-01-06,16.2,42,341,218,116,912,766,28.9,5.6,39,3.6,17.0,0.0,0.0,1004,0.7,1014,215,22.3,39,8.0,3.0,Vyara_Paati,21.11,73.38
0.36,2024-01-07,17.6,42,341,218,116,912,768,29.6,5.7,56,4.4,19.6,0.0,0.0,1004,0.7,1013,218,23.8,56,7.6,3.1,Vyara_Paati,21.11,73.38
0.16,2024-01-08,17.9,42,342,219,116,913,769,31.9,6.4,127,3.6,20.4,0.0,0.0,1004,0.66,1013,219,25.1,127,6.8,2.7,Vyara_Paati,21.11,73.38
0.35,2024-01-09,18.3,42,342,220,116,913,771,29.3,4.8,31,2.8,20.0,0.0,0.0,1004,0.7,1014,182,24.5,31,4.8,2.1,Vyara_Paati,21.11,73.38
0.1,2024-01-10,19.4,42,342,221,117,914,773,30.0,6.2,96,2.8,20.0,0.0,0.0,1005,0.74,1014,220,24.5,96,6.0,1.9,Vyara_Paati,21.11,73.38
0.03,2024-01-11,20.0,42,343,221,117,915,775,30.4,6.5,32,3.2,19.6,0.0,0.0,1005,0.77,1014,221,24.8,32,5.6,2.1,Vyara_Paati,21.11,73.38
0.04,2024-01-12,19.5,42,343,222,117,915,777,33.3,6.5,124,3.2,20.7,0.0,0.0,1005,0.69,1014,222,26.2,124,6.0,2.3,Vyara_Paati,21.11,73.38
0.0,2024-01-13,19.0,42,344,223,117,916,780,32.6,6.5,203,3.2,19.6,0.0,0.0,1005,0.7,1014,223,25.4,203,6.8,1.9,Vyara_Paati,21.11,73.38
0.0,2024-01-14,14.6,42,344,224,117,916,782,30.0,6.6,155,3.2,18.5,0.0,0.0,1006,0.61,1015,224,23.5,155,6.4,2.1,Vyara_Paati,21.11,73.38
0.0,2024-01-15,11.5,42,345,225,117,917,784,28.9,6.6,179,2.4,15.9,0.0,0.0,1005,0.55,1015,225,21.6,179,4.8,1.7,Vyara_Paati,21.11,73.38
0.26,2024-01-16,12.2,42,345,226,117,918,787,28.9,6.4,207,2.4,13.7,0.0,0.0,1003,0.6,1012,214,21.0,207,4.8,1.5,Vyara_Paati,21.11,73.38
0.44,2024-01-17,12.3,42,346,227,117,918,789,28.5,3.0,182,2.8,14.8,0.0,0.0,1002,0.61,1012,163,20.9,182,6.4,1.7,Vyara_Paati,21.11,73.38
0.01,2024-01-18,13.6,43,347,228,118,919,792,28.1,6.6,189,2.4,14.8,0.0,0.0,1004,0.64,1013,228,21.2,189,5.2,1.8,Vyara_Paati,21.11,73.38
0.02,2024-01-19,14.3,43,347,229,118,920,795,30.0,6.7,128,3.2,15.2,0.0,0.0,1004,0.63,1013,229,22.1,128,6.8,2.4,Vyara_Paati,21.11,73.38
0.29,2024-01-20,13.1,43,348,230,118,920,797,29.3,6.8,143,3.6,15.9,0.0,0.0,1005,0.59,1014,224,22.0,143,7.2,2.5,Vyara_Paati,21.11,73.38
0.6,2024-01-21,11.1,43,348,231,118,921,800,28.9,2.3,42,4.0,16.3,0.0,0.0,1006,0.51,1015,68,22.2,42,8.8,3.1,Vyara_Paati,21.11,73.38
0.52,2024-01-22,10.9,43,349,232,118,922,803,29.3,5.4,163,3.6,15.6,0.0,0.0,1006,0.52,1015,215,21.8,163,7.2,2.5,Vyara_Paati,21.11,73.38
0.0,2024-01-23,8.0,43,350,233,118,922,806,28.1,6.9,59,4.0,14.4,0.0,0.0,1006,0.46,1016,233,20.9,59,8.8,2.8,Vyara_Paati,21.11,73.38
0.04,2024-01-24,8.8,43,350,235,118,923,809,28.5,7.0,48,4.0,14.8,0.0,0.0,1006,0.48,1015,235,21.1,48,8.4,2.7,Vyara_Paati,21.11,73.38
0.01,2024-01-25,9.6,43,351,236,119,924,813,30.0,7.0,58,3.6,13.3,0.0,0.0,1007,0.51,1016,236,21.5,58,7.6,2.6,Vyara_Paati,21.11,73.38
0.28,2024-01-26,10.8,43,352,237,119,925,816,31.5,6.8,86,3.2,14.8,0.0,0.0,1008,0.49,1017,237,22.6,86,5.2,2.2,Vyara_Paati,21.11,73.38
0.79,2024-01-27,13.1,43,353,238,119,925,819,33.0,5.0,152,3.2,15.6,0.0,0.0,1007,0.57,1017,124,23.4,152,5.6,2.1,Vyara_Paati,21.11,73.38
0.7,2024-01-28,13.9,44,353,240,119,926,822,32.6,4.0,186,3.2,14.8,0.0,0.0,1007,0.61,1016,205,23.0,186,6.8,1.7,Vyara_Paati,21.11,73.38
0.52,2024-01-29,13.4,44,354,241,119,927,826,30.4,6.2,165,2.8,14.8,0.0,0.0,1007,0.61,1016,236,22.2,165,6.4,1.8,Vyara_Paati,21.11,73.38
0.22,2024-01-30,14.2,44,355,242,120,928,829,30.0,7.1,186,2.4,15.9,0.0,0.0,1006,0.63,1015,240,22.3,186,5.6,1.9,Vyara_Paati,21.11,73.38
0.76,2024-01-31,14.6,44,356,243,120,928,833,30.0,4.2,195,2.8,16.3,0.0,0.0,1005,0.63,1014,160,22.8,195,6.0,1.4,Vyara_Paati,21.11,73.38
0.23,2024-02-01,16.8,44,357,245,120,929,836,29.3,7.3,237,2.8,17.0,0.0,0.0,1006,0.72,1015,244,22.6,237,6.0,1.7,Vyara_Paati,21.11,73.38
