clouds,datetime,dewpt,dhi,dni,ghi,max_dhi,max_dni,max_ghi,max_temp,max_temp_ts,max_uv,max_wind_dir,max_wind_spd,max_wind_spd_ts,min_temp,min_temp_ts,precip,precip_gpm,pres,revision_status,rh,slp,snow,snow_depth,solar_rad,t_dhi,t_dni,t_ghi,t_solar_rad,temp,ts,wind_dir,wind_gust_spd,wind_spd,market_name,query_lat,query_lon
1,2024-01-01,18.6,41,340,215,116,910,759,30.4,1704063600,6.3,191,2.8,1704063600,20.4,1704067200,0.0,0.0,1003,final,73,1013,0,0,215,954,7816,4946,4946,24.2,1704047400,191,5.6,1.7,Vyra,21.1124122168599,73.3885575720575
3,2024-01-02,18.7,41,340,216,116,910,760,28.5,1704186000,6.3,181,3.2,1704189600,19.6,1704160800,0.0,0.0,1003,final,76,1013,0,0,215,954,7820,4957,4954,23.5,1704133800,181,6.4,1.5,Vyra,21.1124122168599,73.3885575720575
7,2024-01-03,18.7,42,340,216,116,911,762,27.4,1704272400,6.2,158,2.4,1704272400,18.1,1704247200,0.0,0.0,1003,final,80,1013,0,0,216,955,7825,4968,4962,22.5,1704220200,158,5.6,1.7,Vyra,21.1124122168599,73.3885575720575
6,2024-01-04,17.3,42,340,217,116,911,763,28.1,1704358800,5.8,134,2.4,1704358800,17.4,1704326400,0.0,0.0,1003,final,76,1013,0,0,214,956,7831,4980,4925,22.2,1704306600,134,5.2,1.6,Vyra,21.1124122168599,73.3885575720575
5,2024-01-05,16.9,42,341,217,116,911,764,27.8,1704445200,6.1,127,3.2,1704423600,17.0,1704420000,0.0,0.0,1003,final,75,1013,0,0,217,957,7837,4993,4984,21.8,1704393000,127,6.0,2.2,Vyra,21.1124122168599,73.3885575720575
28,2024-01-06,16.7,42,341,218,116,912,766,28.1,1704531600,5.5,55,3.6,1704524400,17.4,1704499200,0.0,0.0,1004,final,73,1014,0,0,215,958,7844,5007,4935,22.3,1704479400,55,8.0,2.7,Vyra,21.1124122168599,73.3885575720575
38,2024-01-07,17.4,42,341,218,116,912,768,28.9,1704618000,5.5,67,4.4,1704639600,20.4,1704582000,0.0,0.0,1004,final,69,1014,0,0,217,960,7852,5022,4989,23.6,1704565800,67,8.4,3.1,Vyra,21.1124122168599,73.3885575720575
17,2024-01-08,17.6,42,342,219,116,913,769,31.5,1704704400,6.3,126,4.0,1704715200,20.4,1704672000,0.0,0.0,1003,final,66,1013,0,0,219,961,7860,5038,5030,24.8,1704652200,126,7.6,2.7,Vyra,21.1124122168599,73.3885575720575
39,2024-01-09,17.9,42,342,220,116,913,771,28.9,1704790800,4.8,53,2.4,1704747600,19.6,1704765600,0.0,0.0,1004,final,69,1014,0,0,168,962,7868,5055,3873,24.1,1704738600,53,4.8,1.7,Vyra,21.1124122168599,73.3885575720575
13,2024-01-10,19.1,42,342,221,117,914,773,29.3,1704877200,6.2,124,2.8,1704888000,20.0,1704852000,0.0,0.0,1004,final,74,1014,0,0,219,964,7877,5072,5045,24.3,1704825000,124,6.0,1.7,Vyra,21.1124122168599,73.3885575720575
4,2024-01-11,19.9,42,343,221,117,915,775,29.6,1704963600,6.4,45,2.4,1704974400,20.0,1704938400,0.0,0.0,1005,final,77,1014,0,0,221,965,7887,5090,5087,24.4,1704911400,45,5.2,1.8,Vyra,21.1124122168599,73.3885575720575
8,2024-01-12,19.3,42,343,222,117,915,777,33.0,1705050000,6.5,124,3.2,1705060800,20.7,1705024800,0.0,0.0,1004,final,70,1014,0,0,222,967,7897,5109,5103,25.7,1704997800,124,6.0,2.1,Vyra,21.1124122168599,73.3885575720575
0,2024-01-13,19.2,42,344,223,117,916,780,32.2,1705136400,6.5,204,3.2,1705136400,20.0,1705111200,0.0,0.0,1004,final,71,1014,0,0,223,968,7908,5129,5129,25.3,1705084200,204,6.8,1.8,Vyra,21.1124122168599,73.3885575720575
0,2024-01-14,15.4,42,344,224,117,916,782,29.3,1705222800,6.6,192,2.8,1705222800,20.0,1705197600,0.0,0.0,1005,final,61,1015,0,0,224,970,7920,5150,5150,24.1,1705170600,192,6.4,1.7,Vyra,21.1124122168599,73.3885575720575
