Index,vendor_id,pickup_datetime,dropoff_datetime,Store_and_fwd_flag,rate_code,Passenger_count,Trip_distance,Fare_amount,Extra,MTA_tax,Tip_amount,Tolls_amount,Total_amount,Payment_type
1,1,18-12-2013 22.26,18-12-2013 22.44,N,1,1,10.2,29.5,0.5,0.5,9.15,0,39.65,1
2,2,30-12-2013 19.59,30-12-2013 20.05,N,1,5,1.05,6,1,0.5,0,0,7.5,2
3,2,15-12-2013 10.57,15-12-2013 11.03,N,1,1,1.38,6.5,0,0.5,0,0,7,2
4,2,24-12-2013 23.06,24-12-2013 23.18,N,1,1,1.44,9.5,0.5,0.5,0,0,10.5,2
5,2,31-10-2013 20.07,31-10-2013 20.21,N,1,1,2.89,13,0.5,0.5,0,0,14,2
6,2,28-12-2013 8.45,28-12-2013 8.56,N,1,1,3.19,11.5,0,0.5,0,0,12,2
7,2,29-12-2013 1.00,29-12-2013 1.23,N,1,5,5.52,20,0.5,0.5,0,0,21,2
8,1,13-12-2013 0.12,13-12-2013 0.33,N,1,1,4.2,18,0.5,0.5,0,0,19,2
9,2,30-11-2013 2.20,30-11-2013 2.35,N,1,5,10.83,30,0.5,0.5,6.1,0,37.1,1
10,2,29-10-2013 20.56,29-10-2013 21.03,N,1,1,1.38,7,0.5,0.5,0,0,8,2
11,2,17-12-2013 15.24,17-12-2013 15.58,N,1,1,9.57,32,0,0.5,0,0,32.5,1
12,2,22-12-2013 21.10,22-12-2013 21.28,N,1,1,6.5,20.5,0.5,0.5,0,0,21.5,2
13,2,26-11-2013 10.31,26-11-2013 10.42,N,1,1,2,9.5,0,0.5,0,0,10,2
14,1,24-12-2013 15.08,24-12-2013 15.20,N,1,1,3,12.5,0,0.5,3.25,0,16.25,1
15,2,23-11-2013 3.42,23-11-2013 3.58,N,1,1,3.12,13,0.5,0.5,2.8,0,16.8,1
16,2,31-12-2013 12.32,31-12-2013 12.46,N,1,1,1.94,11,0,0.5,0,0,11.5,2
17,2,25-12-2013 17.23,25-12-2013 17.29,N,1,1,1.22,6.5,0,0.5,0,0,7,2
18,2,27-10-2013 20.42,27-10-2013 20.57,N,1,1,2.93,12.5,0.5,0.5,0,0,13.5,2
19,2,21-11-2013 12.20,21-11-2013 12.29,N,1,5,1.48,8,0,0.5,0,0,8.5,2
20,2,18-12-2013 12.43,18-12-2013 13.02,N,1,1,2.83,14.5,0,0.5,2.9,0,17.9,1
21,2,15-10-2013 8.49,15-10-2013 9.03,N,1,1,1.96,10.5,0,0.5,0,0,11,2
22,2,17-12-2013 23.45,18-12-2013 0.02,N,1,1,6.95,21.5,0.5,0.5,0,0,22.5,2
23,2,29-12-2013 4.18,29-12-2013 4.26,N,1,1,0.57,5.5,0.5,0.5,1.08,0,7.58,1
24,2,26-11-2013 14.16,26-11-2013 14.27,N,1,1,1.8,9.5,0,0.5,0,0,10,1
25,1,25-12-2013 17.21,25-12-2013 17.34,N,1,1,2.7,11.5,0,0.5,0,0,12,2
26,1,16-12-2013 8.16,16-12-2013 8.24,N,1,1,0.9,7,0,0.5,1,0,8.5,1
27,2,26-12-2013 21.21,26-12-2013 21.26,N,1,6,0.62,5,0.5,0.5,0,0,6,2
28,2,18-10-2013 19.27,18-10-2013 19.40,N,1,2,3.9,12.5,1,0.5,2.8,0,16.8,1
29,1,18-12-2013 17.08,18-12-2013 17.17,N,1,1,1.1,7.5,1,0.5,0,0,9,2
30,2,27-09-2013 9.41,27-09-2013 10.05,N,5,1,10.72,35,0,0.5,0,5.33,40.83,1
31,2,17-11-2013 0.33,17-11-2013 0.40,N,1,1,1.04,6,0.5,0.5,1.95,0,8.95,1
32,1,29-11-2013 4.01,29-11-2013 4.06,N,1,3,1.2,6.5,0.5,0.5,0,0,7.5,2
33,2,23-12-2013 23.59,24-12-2013 0.13,N,1,1,4.4,15,0.5,0.5,3.1,0,19.1,1
34,1,20-12-2013 12.35,20-12-2013 12.41,N,1,1,0.5,5.5,0,0.5,0,0,6,2
